gtin14,jan3,jan4,jan13keta,indicator
04048551195833,404,4048,4048551195833,i0
04048551001172,404,4048,4048551001172,i0
04048551195536,404,4048,4048551195536,i0
04048551195543,404,4048,4048551195543,i0
04048551195550,404,4048,4048551195550,i0
04048551195758,404,4048,4048551195758,i0
04048551195772,404,4048,4048551195772,i0
04048551195796,404,4048,4048551195796,i0
04048551195802,404,4048,4048551195802,i0
04048551195819,404,4048,4048551195819,i0
04048551195840,404,4048,4048551195840,i0
04048551195857,404,4048,4048551195857,i0
04048551195864,404,4048,4048551195864,i0
04048551195871,404,4048,4048551195871,i0
04048551195888,404,4048,4048551195888,i0
04048551195901,404,4048,4048551195901,i0
04048551195932,404,4048,4048551195932,i0
04048551195956,404,4048,4048551195956,i0
04048551195987,404,4048,4048551195987,i0
04048551196007,404,4048,4048551196007,i0
04048551196038,404,4048,4048551196038,i0
04048551196045,404,4048,4048551196045,i0
04048551196069,404,4048,4048551196069,i0
04048551196083,404,4048,4048551196083,i0
04048551196090,404,4048,4048551196090,i0
04048551196106,404,4048,4048551196106,i0
04048551196113,404,4048,4048551196113,i0
04048551196120,404,4048,4048551196120,i0
04048551196137,404,4048,4048551196137,i0
04048551195765,404,4048,4048551195765,i0
04048551195826,404,4048,4048551195826,i0
04048551195895,404,4048,4048551195895,i0
04048551195918,404,4048,4048551195918,i0
04048551195949,404,4048,4048551195949,i0
04048551195963,404,4048,4048551195963,i0
04048551195994,404,4048,4048551195994,i0
04048551196014,404,4048,4048551196014,i0
04049098058087,404,4049,4049098005340,i0
04049098005340,404,4049,4049098005340,i1
04049098058056,404,4049,4049098005319,i0
04049098005319,404,4049,4049098005319,i1
04049098058094,404,4049,4049098005357,i0
04049098005357,404,4049,4049098005357,i1
04049098058063,404,4049,4049098005326,i0
04049098005326,404,4049,4049098005326,i1
04049098058209,404,4049,4049098005364,i0
04049098005364,404,4049,4049098005364,i1
04049098058070,404,4049,4049098005333,i0
04049098005333,404,4049,4049098005333,i1
04048551242476,404,4048,4048551242476,i0
04048551335796,404,4048,4048551335796,i0
04048551262030,404,4048,4048551262030,i0
04048551328934,404,4048,4048551328934,i0
04048551339138,404,4048,4048551339138,i0
04048551425701,404,4048,4048551425701,i0
04046223017360,404,4046,4046223017360,i0
04048551079355,404,4048,4048551079355,i0
04048551079379,404,4048,4048551079379,i0
04048551079393,404,4048,4048551079393,i0
04048551079423,404,4048,4048551079423,i0
04048551079430,404,4048,4048551079430,i0
04048551079461,404,4048,4048551079461,i0
04048551079485,404,4048,4048551079485,i0
04048551079492,404,4048,4048551079492,i0
04048551079515,404,4048,4048551079515,i0
04048551079539,404,4048,4048551079539,i0
04048551079553,404,4048,4048551079553,i0
04048551082454,404,4048,4048551082454,i0
04048551173633,404,4048,4048551173633,i0
04048551173657,404,4048,4048551173657,i0
04048551167274,404,4048,4048551167274,i0
04048551054413,404,4048,4048551054413,i0
04048551054420,404,4048,4048551054420,i0
04048551054437,404,4048,4048551054437,i0
04048551054444,404,4048,4048551054444,i0
04048551054451,404,4048,4048551054451,i0
04048551054468,404,4048,4048551054468,i0
04048551054475,404,4048,4048551054475,i0
04048551054482,404,4048,4048551054482,i0
04048551054499,404,4048,4048551054499,i0
04048551054512,404,4048,4048551054512,i0
04048551054529,404,4048,4048551054529,i0
04049098058230,404,4049,4049098009270,i0
04049098009270,404,4049,4049098009270,i1
04048675428909,404,4048,4048675428909,i0
04048675428916,404,4048,4048675428916,i0
04048675000327,404,4048,4048675000327,i0
04048675005247,404,4048,4048675005247,i0
04048675250524,404,4048,4048675250524,i0
04048675250517,404,4048,4048675250517,i0
04048675250500,404,4048,4048675250500,i0
04048675250289,404,4048,4048675250289,i0
04048675421702,404,4048,4048675250258,i0
04048675250258,404,4048,4048675250258,i1
04048675421696,404,4048,4048675250265,i0
04048675250265,404,4048,4048675250265,i1
04048675421689,404,4048,4048675250272,i0
04048675250272,404,4048,4048675250272,i1
04048675421672,404,4048,4048675250296,i0
04048675250296,404,4048,4048675250296,i1
04042761000208,404,4042,4042761000208,i0
04042761003711,404,4042,4042761003711,i0
04042761003735,404,4042,4042761003735,i0
04042761029476,404,4042,4042761029476,i0
04042761011433,404,4042,4042761011433,i0
04042761011815,404,4042,4042761011815,i0
04042761006897,404,4042,4042761006897,i0
04042761006910,404,4042,4042761006910,i0
04042761006934,404,4042,4042761006934,i0
04042761006965,404,4042,4042761006965,i0
04042761018517,404,4042,4042761018517,i0
04048551046760,404,4048,4048551046760,i0
04048551047651,404,4048,4048551047651,i0
04048551096642,404,4048,4048551096642,i0
04048551097151,404,4048,4048551097151,i0
04048551097441,404,4048,4048551097441,i0
04048551098080,404,4048,4048551098080,i0
04048551098110,404,4048,4048551098110,i0
04048551098134,404,4048,4048551098134,i0
04048551098158,404,4048,4048551098158,i0
04048551098172,404,4048,4048551098172,i0
04048551098226,404,4048,4048551098226,i0
04048551106020,404,4048,4048551106020,i0
04048551106037,404,4048,4048551106037,i0
04048551106044,404,4048,4048551106044,i0
04048551106051,404,4048,4048551106051,i0
04048551046982,404,4048,4048551046982,i0
04048551047040,404,4048,4048551047040,i0
04048551098288,404,4048,4048551098288,i0
04042761003315,404,4042,4042761003315,i0
04042761003360,404,4042,4042761003360,i0
04042761003742,404,4042,4042761003742,i0
04046223007163,404,4046,4046223007163,i0
04046223007194,404,4046,4046223007194,i0
04046223007491,404,4046,4046223007491,i0
04046223007507,404,4046,4046223007507,i0
04046223007156,404,4046,4046223007156,i0
04046223007187,404,4046,4046223007187,i0
04048551046487,404,4048,4048551046487,i0
04048551046494,404,4048,4048551046494,i0
04048551050194,404,4048,4048551050194,i0
04048551050477,404,4048,4048551050477,i0
04048551050491,404,4048,4048551050491,i0
04048551097038,404,4048,4048551097038,i0
04048551097052,404,4048,4048551097052,i0
04048551097113,404,4048,4048551097113,i0
04048551097502,404,4048,4048551097502,i0
04048551050002,404,4048,4048551050002,i0
04048551050255,404,4048,4048551050255,i0
04048551051528,404,4048,4048551051528,i0
04048551051535,404,4048,4048551051535,i0
04048551051566,404,4048,4048551051566,i0
04048551051641,404,4048,4048551051641,i0
04048551051733,404,4048,4048551051733,i0
04048551051887,404,4048,4048551051887,i0
04048551050439,404,4048,4048551050439,i0
04048675002789,404,4048,4048675002789,i0
04048675003496,404,4048,4048675003496,i0
04048675022602,404,4048,4048675022602,i0
04048675027287,404,4048,4048675027287,i0
04048675379713,404,4048,4048675379713,i0
04048675379720,404,4048,4048675379720,i0
04048675379737,404,4048,4048675379737,i0
04048675379744,404,4048,4048675379744,i0
04048675379751,404,4048,4048675379751,i0
04048675379768,404,4048,4048675379768,i0
04048675379775,404,4048,4048675379775,i0
04048675379782,404,4048,4048675379782,i0
04048675379799,404,4048,4048675379799,i0
04048675379904,404,4048,4048675379904,i0
04048675379911,404,4048,4048675379911,i0
04048675379928,404,4048,4048675379928,i0
04048675379935,404,4048,4048675379935,i0
04048675379942,404,4048,4048675379942,i0
04048675379959,404,4048,4048675379959,i0
04048675379966,404,4048,4048675379966,i0
04048675379973,404,4048,4048675379973,i0
04048675379980,404,4048,4048675379980,i0
04048675379997,404,4048,4048675379997,i0
04048675380009,404,4048,4048675380009,i0
04048675380016,404,4048,4048675380016,i0
04048675380023,404,4048,4048675380023,i0
04049098001601,404,4049,4049098001601,i0
04049098001618,404,4049,4049098001618,i0
04049098001625,404,4049,4049098001625,i0
04049098001632,404,4049,4049098001632,i0
04049098001649,404,4049,4049098001649,i0
04049098003735,404,4049,4049098003735,i0
04049098003742,404,4049,4049098003742,i0
04049098004718,404,4049,4049098004718,i0
04049098005272,404,4049,4049098005272,i0
04049098005289,404,4049,4049098005289,i0
04049098005401,404,4049,4049098005401,i0
04049098005418,404,4049,4049098005418,i0
04049098005425,404,4049,4049098005425,i0
04049098005432,404,4049,4049098005432,i0
04049098005449,404,4049,4049098005449,i0
04049098005470,404,4049,4049098005470,i0
04049098005487,404,4049,4049098005487,i0
04049098005494,404,4049,4049098005494,i0
04049098005500,404,4049,4049098005500,i0
04049098005517,404,4049,4049098005517,i0
04049098006057,404,4049,4049098006057,i0
04049098006064,404,4049,4049098006064,i0
04049098006071,404,4049,4049098006071,i0
04049098006088,404,4049,4049098006088,i0
04049098006217,404,4049,4049098006217,i0
04049098006224,404,4049,4049098006224,i0
04049098006231,404,4049,4049098006231,i0
04049098006248,404,4049,4049098006248,i0
04049098007252,404,4049,4049098007252,i0
04049098007269,404,4049,4049098007269,i0
04049098007276,404,4049,4049098007276,i0
04049098007283,404,4049,4049098007283,i0
04049098007290,404,4049,4049098007290,i0
04049098007306,404,4049,4049098007306,i0
04049098007313,404,4049,4049098007313,i0
04049098007320,404,4049,4049098007320,i0
04049098007788,404,4049,4049098007788,i0
04049098007795,404,4049,4049098007795,i0
04049098007801,404,4049,4049098007801,i0
04049098007818,404,4049,4049098007818,i0
04049098007825,404,4049,4049098007825,i0
04049098007832,404,4049,4049098007832,i0
04049098007849,404,4049,4049098007849,i0
04049098007856,404,4049,4049098007856,i0
04049098007863,404,4049,4049098007863,i0
04049098007870,404,4049,4049098007870,i0
04049098008242,404,4049,4049098008242,i0
04048675420156,404,4048,4048675302704,i0
04048675302704,404,4048,4048675302704,i1
04048675420149,404,4048,4048675302711,i0
04048675302711,404,4048,4048675302711,i1
04048675420132,404,4048,4048675302728,i0
04048675302728,404,4048,4048675302728,i1
04048675420125,404,4048,4048675302735,i0
04048675302735,404,4048,4048675302735,i1
04048675421771,404,4048,4048675251101,i0
04048675251101,404,4048,4048675251101,i1
04048675421764,404,4048,4048675251118,i0
04048675251118,404,4048,4048675251118,i1
04048675421757,404,4048,4048675251125,i0
04048675251125,404,4048,4048675251125,i1
04048675421740,404,4048,4048675251132,i0
04048675251132,404,4048,4048675251132,i1
04048675379324,404,4048,4048675379324,i0
04048675379331,404,4048,4048675379331,i0
04048675379362,404,4048,4048675379362,i0
04048675379379,404,4048,4048675379379,i0
04048675634058,404,4048,4048675634058,i0
04048675634072,404,4048,4048675634072,i0
04048675634096,404,4048,4048675634096,i0
04048675634416,404,4048,4048675634416,i0
04048675634553,404,4048,4048675634553,i0
04048675634577,404,4048,4048675634577,i0
04048675634591,404,4048,4048675634591,i0
04048675634614,404,4048,4048675634614,i0
04048675634638,404,4048,4048675634638,i0
04048675634652,404,4048,4048675634652,i0
04048675634676,404,4048,4048675634676,i0
04048675634690,404,4048,4048675634690,i0
04048675634713,404,4048,4048675634713,i0
04048675634737,404,4048,4048675634737,i0
04048675634751,404,4048,4048675634751,i0
04048675634775,404,4048,4048675634775,i0
04048675634799,404,4048,4048675634799,i0
04048675634836,404,4048,4048675634836,i0
04046223004285,404,4046,4046223004285,i0
04046223005060,404,4046,4046223005060,i0
04046223004230,404,4046,4046223004230,i0
04046223005015,404,4046,4046223005015,i0
04046223005091,404,4046,4046223005091,i0
04046223008856,404,4046,4046223008856,i0
04046223005107,404,4046,4046223005107,i0
04046223005114,404,4046,4046223005114,i0
04046223047138,404,4046,4046223047138,i0
04046223047145,404,4046,4046223047145,i0
04048551007297,404,4048,4048551007297,i0
04048551094372,404,4048,4048551094372,i0
04048551094396,404,4048,4048551094396,i0
04048551094419,404,4048,4048551094419,i0
04048551094594,404,4048,4048551094594,i0
04048551102480,404,4048,4048551102480,i0
04048551102503,404,4048,4048551102503,i0
04048551102527,404,4048,4048551102527,i0
04048551102541,404,4048,4048551102541,i0
04042761051743,404,4042,4042761051743,i0
04042761051750,404,4042,4042761051750,i0
04042761003056,404,4042,4042761003056,i0
04048551093986,404,4048,4048551093986,i0
04048551094006,404,4048,4048551094006,i0
04048551094020,404,4048,4048551094020,i0
