gtin14,jan3,jan4,jan13keta,indicator
10821925043333,082,0821,0821925043336,i1
10827002315225,082,0827,0827002315228,i1
10827002315409,082,0827,0827002315402,i1
10827002482408,082,0827,0827002482401,i1
10827002477428,082,0827,0827002477421,i1
10827002530062,082,0827,0827002530065,i1
10827002560618,082,0827,0827002560611,i1
10827002560717,082,0827,0827002560710,i1
10827002560656,082,0827,0827002560659,i1
10827002560748,082,0827,0827002560741,i1
10827002561233,082,0827,0827002561236,i1
10827002561295,082,0827,0827002561298,i1
10827002561264,082,0827,0827002561267,i1
10827002561325,082,0827,0827002561328,i1
10827002560526,082,0827,0827002560529,i1
10827002560878,082,0827,0827002560871,i1
10827002476872,082,0827,0827002476875,i1
10827002476896,082,0827,0827002476899,i1
10827002476902,082,0827,0827002476905,i1
10827002476926,082,0827,0827002476929,i1
10827002476988,082,0827,0827002476981,i1
10827002506968,082,0827,0827002506961,i1
10827002213866,082,0827,0827002213869,i1
10827002221083,082,0827,0827002221086,i1
10827002221748,082,0827,0827002221741,i1
10827002221786,082,0827,0827002221789,i1
10827002224091,082,0827,0827002224094,i1
10827002164939,082,0827,0827002164932,i1
10827002164953,082,0827,0827002164956,i1
10827002164960,082,0827,0827002164963,i1
10827002164977,082,0827,0827002164970,i1
10821925042503,082,0821,0821925042506,i1
10827002049588,082,0827,0827002049581,i1
10827002051338,082,0827,0827002051331,i1
10827002059860,082,0827,0827002059863,i1
10827002070049,082,0827,0827002070042,i1
10821925039930,082,0821,0821925039933,i1
10821925039954,082,0821,0821925039957,i1
10821925039961,082,0821,0821925039964,i1
10821925039985,082,0821,0821925039988,i1
10821925040004,082,0821,0821925040007,i1
10821925040028,082,0821,0821925040021,i1
10821925041391,082,0821,0821925041394,i1
10821925041414,082,0821,0821925041417,i1
10821925041438,082,0821,0821925041431,i1
10821925041452,082,0821,0821925041455,i1
10821925039886,082,0821,0821925039889,i1
10821925039893,082,0821,0821925039896,i1
10821925039916,082,0821,0821925039919,i1
10827002312163,082,0827,0827002312166,i1
10827002530086,082,0827,0827002530089,i1
10827002190877,082,0827,0827002190870,i1
10827002140148,082,0827,0827002140141,i1
10827002140155,082,0827,0827002140158,i1
10827002140162,082,0827,0827002140165,i1
10827002140285,082,0827,0827002140288,i1
10827002140292,082,0827,0827002140295,i1
10827002140308,082,0827,0827002140301,i1
10827002140315,082,0827,0827002140318,i1
10827002140360,082,0827,0827002140363,i1
10827002140377,082,0827,0827002140370,i1
10827002140384,082,0827,0827002140387,i1
10827002140568,082,0827,0827002140561,i1
10827002140575,082,0827,0827002140578,i1
10827002141817,082,0827,0827002141810,i1
10827002143521,082,0827,0827002143524,i1
10827002143583,082,0827,0827002143586,i1
10827002144894,082,0827,0827002144897,i1
10827002145365,082,0827,0827002145368,i1
10827002146638,082,0827,0827002146631,i1
10827002146652,082,0827,0827002146655,i1
10827002146997,082,0827,0827002146990,i1
10827002147130,082,0827,0827002147133,i1
10827002147956,082,0827,0827002147959,i1
10827002148274,082,0827,0827002148277,i1
10827002158044,082,0827,0827002158047,i1
10827002190860,082,0827,0827002190863,i1
10827002190945,082,0827,0827002190948,i1
10827002190969,082,0827,0827002190962,i1
10827002191065,082,0827,0827002191068,i1
10827002191072,082,0827,0827002191075,i1
10827002191089,082,0827,0827002191082,i1
10827002145211,082,0827,0827002145214,i1
10827002148083,082,0827,0827002148086,i1
10827002148090,082,0827,0827002148093,i1
10827002150406,082,0827,0827002150409,i1
10827002306735,082,0827,0827002306738,i1
10827002503134,082,0827,0827002503137,i1
10827002503141,082,0827,0827002503144,i1
10827002503172,082,0827,0827002503175,i1
10827002503202,082,0827,0827002503205,i1
10827002503219,082,0827,0827002503212,i1
10827002503240,082,0827,0827002503243,i1
10827002503271,082,0827,0827002503274,i1
10827002503288,082,0827,0827002503281,i1
10827002503318,082,0827,0827002503311,i1
10827002503349,082,0827,0827002503342,i1
10827002503356,082,0827,0827002503359,i1
10827002503387,082,0827,0827002503380,i1
10827002523316,082,0827,0827002523319,i1
10827002523323,082,0827,0827002523326,i1
10827002523330,082,0827,0827002523333,i1
10827002523378,082,0827,0827002523371,i1
10827002523385,082,0827,0827002523388,i1
10827002523408,082,0827,0827002523401,i1
10827002523446,082,0827,0827002523449,i1
10827002523453,082,0827,0827002523456,i1
10827002523477,082,0827,0827002523470,i1
10827002523514,082,0827,0827002523517,i1
10827002523521,082,0827,0827002523524,i1
10827002523545,082,0827,0827002523548,i1
10827002523583,082,0827,0827002523586,i1
10827002523590,082,0827,0827002523593,i1
10827002523613,082,0827,0827002523616,i1
10827002523668,082,0827,0827002523661,i1
10827002523736,082,0827,0827002523739,i1
10827002503196,082,0827,0827002503199,i1
10827002503264,082,0827,0827002503267,i1
10827002503332,082,0827,0827002503335,i1
