gtin14,jan3,jan4,jan13keta
64540778108655,454,4540,4540778108653
64540778108662,454,4540,4540778108660
64540778108679,454,4540,4540778108677
64540778108686,454,4540,4540778108684
64540778108693,454,4540,4540778108691
64540778108709,454,4540,4540778108707
64546912002698,454,4546,4546912002696
64546912003046,454,4546,4546912003044
64547317152001,454,4547,4547317152009
64547317154005,454,4547,4547317154003
64547317154135,454,4547,4547317154133
64547317154180,454,4547,4547317154188
64547317154340,454,4547,4547317154348
64547317154623,454,4547,4547317154621
64547317159000,454,4547,4547317159008
64547317159031,454,4547,4547317159039
64547317256075,454,4547,4547317256073
64547317351183,454,4547,4547317351181
64547317553808,454,4547,4547317553806
64547317553822,454,4547,4547317553820
64547317553846,454,4547,4547317553844
64547317555802,454,4547,4547317555800
64547317555833,454,4547,4547317555831
64547317555840,454,4547,4547317555848
64547317555857,454,4547,4547317555855
64547317556014,454,4547,4547317556012
64547317556038,454,4547,4547317556036
64547317556045,454,4547,4547317556043
64547317556052,454,4547,4547317556050
64547317556069,454,4547,4547317556067
64547317556076,454,4547,4547317556074
64547317653072,454,4547,4547317653070
64547317653263,454,4547,4547317653261
64547317653300,454,4547,4547317653308
64547317653348,454,4547,4547317653346
64547317653423,454,4547,4547317653421
64547317653430,454,4547,4547317653438
64547317655304,454,4547,4547317655302
64547317655427,454,4547,4547317655425
64547317655519,454,4547,4547317655517
64547317655540,454,4547,4547317655548
64547317655625,454,4547,4547317655623
64547317656011,454,4547,4547317656019
64547317656035,454,4547,4547317656033
64547317656059,454,4547,4547317656057
64547317656066,454,4547,4547317656064
64547317656073,454,4547,4547317656071
64547317656103,454,4547,4547317656101
64547317656110,454,4547,4547317656118
64547317656127,454,4547,4547317656125
64547317656141,454,4547,4547317656149
64547317656172,454,4547,4547317656170
64547317656189,454,4547,4547317656187
64547317656202,454,4547,4547317656200
64547317657001,454,4547,4547317657009
64547317751310,454,4547,4547317751318
64547317751389,454,4547,4547317751387
64547317751464,454,4547,4547317751462
64547317752331,454,4547,4547317752339
64547317753116,454,4547,4547317753114
64547317753123,454,4547,4547317753121
64547317753185,454,4547,4547317753183
64547317753192,454,4547,4547317753190
64547317753208,454,4547,4547317753206
64547317753215,454,4547,4547317753213
64547317753222,454,4547,4547317753220
64547317753260,454,4547,4547317753268
64547317753284,454,4547,4547317753282
64547317753338,454,4547,4547317753336
64547317754144,454,4547,4547317754142
64547317754151,454,4547,4547317754159
64547317754182,454,4547,4547317754180
64547317754199,454,4547,4547317754197
64547317754205,454,4547,4547317754203
64547317754229,454,4547,4547317754227
64547317754236,454,4547,4547317754234
64547317754243,454,4547,4547317754241
64547317754250,454,4547,4547317754258
64547317052431,454,4547,4547317052439
64547317052431,454,4547,4547317052439
64547317052431,454,4547,4547317052439
64547317052639,454,4547,4547317052637
64547317052639,454,4547,4547317052637
64547317052639,454,4547,4547317052637
64547317056538,454,4547,4547317056536
64547317056538,454,4547,4547317056536
64547317056538,454,4547,4547317056536
64547317056545,454,4547,4547317056543
64547317056545,454,4547,4547317056543
64547317056545,454,4547,4547317056543
64547317057030,454,4547,4547317057038
64547317057030,454,4547,4547317057038
64547317057030,454,4547,4547317057038
64547317057047,454,4547,4547317057045
64547317057047,454,4547,4547317057045
64547317057047,454,4547,4547317057045
64547317057054,454,4547,4547317057052
64547317057054,454,4547,4547317057052
64547317057054,454,4547,4547317057052
64547317057061,454,4547,4547317057069
64547317057061,454,4547,4547317057069
64547317057061,454,4547,4547317057069
64547317057078,454,4547,4547317057076
64547317057078,454,4547,4547317057076
64547317057078,454,4547,4547317057076
64547317150571,454,4547,4547317150579
64547317150571,454,4547,4547317150579
64547317150571,454,4547,4547317150579
64547317150588,454,4547,4547317150586
64547317150588,454,4547,4547317150586
64547317150588,454,4547,4547317150586
64547317150618,454,4547,4547317150616
64547317150618,454,4547,4547317150616
64547317150618,454,4547,4547317150616
64547317150632,454,4547,4547317150630
64547317150632,454,4547,4547317150630
64547317150632,454,4547,4547317150630
64547317154265,454,4547,4547317154263
64547317154265,454,4547,4547317154263
64547317154265,454,4547,4547317154263
64547317154630,454,4547,4547317154638
64547317154630,454,4547,4547317154638
64547317154630,454,4547,4547317154638
64547317154647,454,4547,4547317154645
64547317154647,454,4547,4547317154645
64547317154647,454,4547,4547317154645
64547317553853,454,4547,4547317553851
64547317553853,454,4547,4547317553851
64547317553853,454,4547,4547317553851
64547317555864,454,4547,4547317555862
64547317555864,454,4547,4547317555862
64547317555864,454,4547,4547317555862
64547317555871,454,4547,4547317555879
64547317555871,454,4547,4547317555879
64547317555871,454,4547,4547317555879
64547317555895,454,4547,4547317555893
