gtin14,jan3,jan4,jan13keta,indicator
26950900920077,695,6950,6950900920073,i2
26950900934555,695,6950,6950900934551,i2
26950900934548,695,6950,6950900934544,i2
26950900934562,695,6950,6950900934568,i2
26950900984734,695,6950,6950900984730,i2
26950900984741,695,6950,6950900984747,i2
26950900920763,695,6950,6950900920769,i2
26950900920749,695,6950,6950900920745,i2
26950900920725,695,6950,6950900920721,i2
26950900920756,695,6950,6950900920752,i2
26950900934623,695,6950,6950900934629,i2
26950900934616,695,6950,6950900934612,i2
26950900934609,695,6950,6950900934605,i2
26950900934647,695,6950,6950900934643,i2
