gtin14,jan3,jan4,jan13keta,indicator
00873263008027,087,0873,0873263008027,i0
00878528000051,087,0878,0878528000051,i0
00878528000068,087,0878,0878528000068,i0
00878953000558,087,0878,0878953000558,i0
00878953000626,087,0878,0878953000626,i0
00878953000664,087,0878,0878953000664,i0
00878953000688,087,0878,0878953000688,i0
00878953000718,087,0878,0878953000718,i0
00878953000725,087,0878,0878953000725,i0
00878953000732,087,0878,0878953000732,i0
00878953000749,087,0878,0878953000749,i0
00878953000756,087,0878,0878953000756,i0
00878953000831,087,0878,0878953000831,i0
00878953001036,087,0878,0878953001036,i0
00878953000619,087,0878,0878953000619,i0
00878953000633,087,0878,0878953000633,i0
00878953000763,087,0878,0878953000763,i0
00878953000817,087,0878,0878953000817,i0
00878953000824,087,0878,0878953000824,i0
00878953000770,087,0878,0878953000770,i0
00878953000787,087,0878,0878953000787,i0
00878953000794,087,0878,0878953000794,i0
00878953000800,087,0878,0878953000800,i0
00871321000013,087,0871,0871321000013,i0
00871321000020,087,0871,0871321000020,i0
00871321000037,087,0871,0871321000037,i0
00871321000044,087,0871,0871321000044,i0
00871321000068,087,0871,0871321000068,i0
00871321000082,087,0871,0871321000082,i0
00871321000105,087,0871,0871321000105,i0
00871321000112,087,0871,0871321000112,i0
00871321000143,087,0871,0871321000143,i0
00871321000167,087,0871,0871321000167,i0
00871321000174,087,0871,0871321000174,i0
00871321000198,087,0871,0871321000198,i0
00871321000211,087,0871,0871321000211,i0
00871321000235,087,0871,0871321000235,i0
00871321000259,087,0871,0871321000259,i0
00871321000273,087,0871,0871321000273,i0
00871321000280,087,0871,0871321000280,i0
00871321000297,087,0871,0871321000297,i0
00871321000303,087,0871,0871321000303,i0
00871321000501,087,0871,0871321000501,i0
00871321000556,087,0871,0871321000556,i0
00871321000402,087,0871,0871321000402,i0
00871321000433,087,0871,0871321000433,i0
00871321000440,087,0871,0871321000440,i0
00871321000457,087,0871,0871321000457,i0
00871321000464,087,0871,0871321000464,i0
00871321000471,087,0871,0871321000471,i0
00871321000518,087,0871,0871321000518,i0
00871321000563,087,0871,0871321000563,i0
00871321000594,087,0871,0871321000594,i0
00871321000617,087,0871,0871321000617,i0
00871321000648,087,0871,0871321000648,i0
00871321000655,087,0871,0871321000655,i0
00871321000679,087,0871,0871321000679,i0
00871321000709,087,0871,0871321000709,i0
00871321000723,087,0871,0871321000723,i0
00871321000747,087,0871,0871321000747,i0
00871321000754,087,0871,0871321000754,i0
00871321000792,087,0871,0871321000792,i0
00871321000808,087,0871,0871321000808,i0
00871321000815,087,0871,0871321000815,i0
00871321000822,087,0871,0871321000822,i0
00878953004709,087,0878,0878953004709,i0
00878953005515,087,0878,0878953005515,i0
