gtin14,jan3,jan4,jan13
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00841000000000,084,0841,0841000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00847000000000,084,0847,0847000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00848000000000,084,0848,0848000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00849000000000,084,0849,0849000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00845000000000,084,0845,0845000000000
00846000000000,084,0846,0846000000000
00846000000000,084,0846,0846000000000
00846000000000,084,0846,0846000000000
00846000000000,084,0846,0846000000000
00846000000000,084,0846,0846000000000
00846000000000,084,0846,0846000000000
00846000000000,084,0846,0846000000000
00846000000000,084,0846,0846000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
00840000000000,084,0840,0840000000000
