gtin14,jan3,jan4,jan13keta,indicator
00833166000603,083,0833,0833166000603,i0
00833166000160,083,0833,0833166000160,i0
00833166000757,083,0833,0833166000757,i0
00833166002249,083,0833,0833166002249,i0
00833166002287,083,0833,0833166002287,i0
00833166002232,083,0833,0833166002232,i0
00833166000610,083,0833,0833166000610,i0
00833166004717,083,0833,0833166004717,i0
00833166000153,083,0833,0833166000153,i0
00833166002188,083,0833,0833166002188,i0
00839935006111,083,0839,0839935006111,i0
00839935002328,083,0839,0839935002328,i0
00839935000287,083,0839,0839935000287,i0
00839935000324,083,0839,0839935000324,i0
00839935000348,083,0839,0839935000348,i0
00839935001543,083,0839,0839935001543,i0
00839935001550,083,0839,0839935001550,i0
00839935001567,083,0839,0839935001567,i0
00839935008993,083,0839,0839935008993,i0
00839935009174,083,0839,0839935009174,i0
00839935009556,083,0839,0839935009556,i0
00839935008177,083,0839,0839935008177,i0
00839935008320,083,0839,0839935008320,i0
00839935008092,083,0839,0839935008092,i0
00839935008993,083,0839,0839935008993,i0
00839935009181,083,0839,0839935009181,i0
00839935009174,083,0839,0839935009174,i0
00836462000025,083,0836,0836462000025,i0
00836462000049,083,0836,0836462000049,i0
00836462000070,083,0836,0836462000070,i0
00836462000087,083,0836,0836462000087,i0
00836462000117,083,0836,0836462000117,i0
00836462000209,083,0836,0836462000209,i0
00836462016378,083,0836,0836462016378,i0
00836462016385,083,0836,0836462016385,i0
00836462016392,083,0836,0836462016392,i0
00836462016408,083,0836,0836462016408,i0
00836462016132,083,0836,0836462016132,i0
00836462016149,083,0836,0836462016149,i0
00836462016163,083,0836,0836462016163,i0
00836462016156,083,0836,0836462016156,i0
00834271003008,083,0834,0834271003008,i0
00834271003015,083,0834,0834271003015,i0
00834271003022,083,0834,0834271003022,i0
00834271003039,083,0834,0834271003039,i0
00834271003046,083,0834,0834271003046,i0
00834271003053,083,0834,0834271003053,i0
00834271003060,083,0834,0834271003060,i0
00834271003077,083,0834,0834271003077,i0
00834271003084,083,0834,0834271003084,i0
00834271003091,083,0834,0834271003091,i0
00834271003107,083,0834,0834271003107,i0
00834271003114,083,0834,0834271003114,i0
00834271003121,083,0834,0834271003121,i0
00834271003138,083,0834,0834271003138,i0
00834271003145,083,0834,0834271003145,i0
00834271003152,083,0834,0834271003152,i0
00834271003169,083,0834,0834271003169,i0
00834271003176,083,0834,0834271003176,i0
00834271003183,083,0834,0834271003183,i0
00834271003190,083,0834,0834271003190,i0
00834271003206,083,0834,0834271003206,i0
00834271003213,083,0834,0834271003213,i0
00834271003220,083,0834,0834271003220,i0
00834271003237,083,0834,0834271003237,i0
00834271003244,083,0834,0834271003244,i0
00834271003251,083,0834,0834271003251,i0
00834271003268,083,0834,0834271003268,i0
00834271003275,083,0834,0834271003275,i0
00834271003282,083,0834,0834271003282,i0
00834271003299,083,0834,0834271003299,i0
00834271003305,083,0834,0834271003305,i0
00836462004115,083,0836,0836462004115,i0
00836462004122,083,0836,0836462004122,i0
00836462004146,083,0836,0836462004146,i0
00836462004184,083,0836,0836462004184,i0
00836462004207,083,0836,0836462004207,i0
00831427000300,083,0831,0831427000300,i0
00831427000317,083,0831,0831427000317,i0
00831427000331,083,0831,0831427000331,i0
00831427000348,083,0831,0831427000348,i0
00831427000355,083,0831,0831427000355,i0
00831427000324,083,0831,0831427000324,i0
00831427000362,083,0831,0831427000362,i0
00831427000379,083,0831,0831427000379,i0
00831427000386,083,0831,0831427000386,i0
00831427000393,083,0831,0831427000393,i0
00831427000416,083,0831,0831427000416,i0
00831427000423,083,0831,0831427000423,i0
00831427000430,083,0831,0831427000430,i0
00831427000409,083,0831,0831427000409,i0
00831427000447,083,0831,0831427000447,i0
00831427000478,083,0831,0831427000478,i0
00831427000485,083,0831,0831427000485,i0
00831427000492,083,0831,0831427000492,i0
