gtin14,jan3,jan4,jan13keta,indicator
00184360000341,018,0184,0184360000341,i0
00184360000334,018,0184,0184360000334,i0
00184360000402,018,0184,0184360000402,i0
00184360000419,018,0184,0184360000419,i0
00184360000426,018,0184,0184360000426,i0
00184360000433,018,0184,0184360000433,i0
00184360000112,018,0184,0184360000112,i0
00184360000129,018,0184,0184360000129,i0
00184360000150,018,0184,0184360000150,i0
00184360000167,018,0184,0184360000167,i0
00183739000647,018,0183,0183739000647,i0
00183739000951,018,0183,0183739000951,i0
00183739000654,018,0183,0183739000654,i0
00184360000037,018,0184,0184360000037,i0
00184360000044,018,0184,0184360000044,i0
00184360000631,018,0184,0184360000631,i0
00184360000013,018,0184,0184360000013,i0
00184360000020,018,0184,0184360000020,i0
00184360000358,018,0184,0184360000358,i0
00184360000860,018,0184,0184360000860,i0
00184360000877,018,0184,0184360000877,i0
00184360000884,018,0184,0184360000884,i0
00184360000891,018,0184,0184360000891,i0
00184360000907,018,0184,0184360000907,i0
00184360000914,018,0184,0184360000914,i0
