gtin14,jan3,jan4,jan13keta,indicator
00190376460536,019,0190,0190376460536,i0
00190376467832,019,0190,0190376467832,i0
00191506000813,019,0191,0191506000813,i0
00190376232294,019,0190,0190376232294,i0
00190376467825,019,0190,0190376467825,i0
00190376232300,019,0190,0190376232300,i0
00191506023591,019,0191,0191506023591,i0
00191506023607,019,0191,0191506023607,i0
00191506023614,019,0191,0191506023614,i0
00191506023621,019,0191,0191506023621,i0
00193494135478,019,0193,0193494135478,i0
00193494135485,019,0193,0193494135485,i0
00193494135492,019,0193,0193494135492,i0
00193494135515,019,0193,0193494135515,i0
00193494135522,019,0193,0193494135522,i0
00193494135539,019,0193,0193494135539,i0
00193494135546,019,0193,0193494135546,i0
00193494135553,019,0193,0193494135553,i0
00193494135560,019,0193,0193494135560,i0
00193494135577,019,0193,0193494135577,i0
00193494135607,019,0193,0193494135607,i0
00193494135614,019,0193,0193494135614,i0
00193494135638,019,0193,0193494135638,i0
00193494135652,019,0193,0193494135652,i0
00193494135669,019,0193,0193494135669,i0
00193494135683,019,0193,0193494135683,i0
00193494135690,019,0193,0193494135690,i0
00193494135706,019,0193,0193494135706,i0
00191506030742,019,0191,0191506030742,i0
00191506030759,019,0191,0191506030759,i0
00191506043131,019,0191,0191506043131,i0
00197990000902,019,0197,0197990000902,i0
00197990000919,019,0197,0197990000919,i0
00197990000377,019,0197,0197990000377,i0
00197990000612,019,0197,0197990000612,i0
00197990000629,019,0197,0197990000629,i0
00197990000636,019,0197,0197990000636,i0
00197990000643,019,0197,0197990000643,i0
00197990000926,019,0197,0197990000926,i0
00197990000957,019,0197,0197990000957,i0
00197990000964,019,0197,0197990000964,i0
00197990000933,019,0197,0197990000933,i0
00197990000971,019,0197,0197990000971,i0
00197990000988,019,0197,0197990000988,i0
00197990000940,019,0197,0197990000940,i0
00197990000995,019,0197,0197990000995,i0
00197990001008,019,0197,0197990001008,i0
00197990000551,019,0197,0197990000551,i0
00197990000391,019,0197,0197990000391,i0
