jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
4979844161313,04979844161313,箱,14979844161310,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.16×39mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161320,04979844161320,箱,14979844161327,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.18×39mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161306,04979844161306,箱,14979844161303,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.14×39mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161337,04979844161337,箱,14979844161334,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.20×39mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161344,04979844161344,箱,14979844161341,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.22×39mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161351,04979844161351,箱,14979844161358,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.24×39mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844162037,04979844162037,箱,14979844162034,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.20×60mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844162051,04979844162051,箱,14979844162058,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.24×60mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161603,04979844161603,箱,14979844161600,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.14×48mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161610,04979844161610,箱,14979844161617,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.16×48mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161627,04979844161627,箱,14979844161624,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.18×48mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161634,04979844161634,箱,14979844161631,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.20×48mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161641,04979844161641,箱,14979844161648,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.22×48mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161658,04979844161658,箱,14979844161655,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.24×48mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161009,04979844161009,箱,14979844161006,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.14×30mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161016,04979844161016,箱,14979844161013,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.16×30mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979844161023,04979844161023,箱,14979844161020,箱,,,NEO ディスポ鍼　ワンタッチ,－,Φ0.18×30mm,,1,山正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
