gtin14,jan3,jan4,jan13keta
34946279100638,494,4946,4946279100637
34946279100645,494,4946,4946279100644
34946279100652,494,4946,4946279100651
34946279100669,494,4946,4946279100668
34946279100676,494,4946,4946279100675
34946279100683,494,4946,4946279100682
34946279100690,494,4946,4946279100699
34946279100706,494,4946,4946279100705
34946279100782,494,4946,4946279100781
34946279100799,494,4946,4946279100798
34946279100805,494,4946,4946279100804
34946279101000,494,4946,4946279101009
34946279101017,494,4946,4946279101016
34946279101024,494,4946,4946279101023
34946279101031,494,4946,4946279101030
34946279101048,494,4946,4946279101047
34946279101055,494,4946,4946279101054
34946279101062,494,4946,4946279101061
34946279101079,494,4946,4946279101078
34946279101086,494,4946,4946279101085
34946279101093,494,4946,4946279101092
34946279101109,494,4946,4946279101108
34946279101116,494,4946,4946279101115
34946279101123,494,4946,4946279101122
34946279101130,494,4946,4946279101139
34946279101147,494,4946,4946279101146
34946279101154,494,4946,4946279101153
34946279101161,494,4946,4946279101160
34946279101178,494,4946,4946279101177
34946279101185,494,4946,4946279101184
34946279101192,494,4946,4946279101191
34946279101208,494,4946,4946279101207
34946279101215,494,4946,4946279101214
34946279101222,494,4946,4946279101221
34946279101239,494,4946,4946279101238
34946279101246,494,4946,4946279101245
34946279101253,494,4946,4946279101252
34946279101260,494,4946,4946279101269
34946279101277,494,4946,4946279101276
34946279101284,494,4946,4946279101283
34946279101291,494,4946,4946279101290
34946279101307,494,4946,4946279101306
34946279101314,494,4946,4946279101313
34946279101321,494,4946,4946279101320
34946279101338,494,4946,4946279101337
34946279101345,494,4946,4946279101344
34946279101352,494,4946,4946279101351
34946279101369,494,4946,4946279101368
34946279101376,494,4946,4946279101375
34946279101383,494,4946,4946279101382
34946279101390,494,4946,4946279101399
34946279101406,494,4946,4946279101405
34946279101413,494,4946,4946279101412
34946279101420,494,4946,4946279101429
34946279101437,494,4946,4946279101436
34946279101444,494,4946,4946279101443
34946279101451,494,4946,4946279101450
34946279101468,494,4946,4946279101467
34946279101475,494,4946,4946279101474
34946279101482,494,4946,4946279101481
34946279101499,494,4946,4946279101498
34946279101505,494,4946,4946279101504
34946279101512,494,4946,4946279101511
34946279101529,494,4946,4946279101528
34946279101536,494,4946,4946279101535
34946279101543,494,4946,4946279101542
34946279101550,494,4946,4946279101559
34946279101567,494,4946,4946279101566
34946279101581,494,4946,4946279101580
34946279101598,494,4946,4946279101597
34946279101604,494,4946,4946279101603
34946279101611,494,4946,4946279101610
34946279101628,494,4946,4946279101627
34946279101635,494,4946,4946279101634
34946279101642,494,4946,4946279101641
34946279101659,494,4946,4946279101658
34946279101666,494,4946,4946279101665
34946279101871,494,4946,4946279101870
34946279101888,494,4946,4946279101887
34946279101895,494,4946,4946279101894
34946279101901,494,4946,4946279101900
34946279101918,494,4946,4946279101917
34946279102052,494,4946,4946279102051
34946279102069,494,4946,4946279102068
34946279102076,494,4946,4946279102075
34946279102083,494,4946,4946279102082
34946279102090,494,4946,4946279102099
34946279102106,494,4946,4946279102105
34946279102113,494,4946,4946279102112
34946279102120,494,4946,4946279102129
34946279102137,494,4946,4946279102136
34946279102144,494,4946,4946279102143
34946279102151,494,4946,4946279102150
34946279102168,494,4946,4946279102167
34946279102175,494,4946,4946279102174
34946279102182,494,4946,4946279102181
34946279102199,494,4946,4946279102198
34946279102205,494,4946,4946279102204
34946279102212,494,4946,4946279102211
34946279102229,494,4946,4946279102228
34946279102236,494,4946,4946279102235
34946279102243,494,4946,4946279102242
34946279102250,494,4946,4946279102259
34946279102267,494,4946,4946279102266
34946279102274,494,4946,4946279102273
34946279102281,494,4946,4946279102280
34946279102298,494,4946,4946279102297
34946279102304,494,4946,4946279102303
34946279102311,494,4946,4946279102310
34946279102328,494,4946,4946279102327
34946279102335,494,4946,4946279102334
34946279102342,494,4946,4946279102341
34946279102359,494,4946,4946279102358
34946279102366,494,4946,4946279102365
34946279102373,494,4946,4946279102372
34946279102380,494,4946,4946279102389
34946279102397,494,4946,4946279102396
34946279102403,494,4946,4946279102402
34946279102410,494,4946,4946279102419
34946279102427,494,4946,4946279102426
34946279102434,494,4946,4946279102433
