gtin14,jan3,jan4,jan13keta
34960685140026,496,4960,4960685140025
34960685140040,496,4960,4960685140049
34960685140125,496,4960,4960685140124
34960685140149,496,4960,4960685140148
34960685140224,496,4960,4960685140223
34960685140231,496,4960,4960685140230
34960685140347,496,4960,4960685140346
34960685140446,496,4960,4960685140445
34960685142228,496,4960,4960685142227
34960685142235,496,4960,4960685142234
34960685142242,496,4960,4960685142241
34960685143010,496,4960,4960685143019
34960685143119,496,4960,4960685143118
34960685143218,496,4960,4960685143217
34960685150001,496,4960,4960685150000
34960685150100,496,4960,4960685150109
34960685150209,496,4960,4960685150208
34966987502012,496,4966,4966987502011
34966987502012,496,4966,4966987502011
34966987502012,496,4966,4966987502011
34966987502029,496,4966,4966987502028
34966987502029,496,4966,4966987502028
34966987502029,496,4966,4966987502028
