gtin14,jan3,jan4,jan13keta,indicator
04904095700707,490,4904,4904095700707,i0
04904095700714,490,4904,4904095700714,i0
04904095700721,490,4904,4904095700721,i0
04904095700738,490,4904,4904095700738,i0
04904095700745,490,4904,4904095700745,i0
04901126100109,490,4901,4901126100109,i0
04901126100178,490,4901,4901126100178,i0
04901126100185,490,4901,4901126100185,i0
04901126201103,490,4901,4901126201103,i0
04901126201110,490,4901,4901126201110,i0
04901126201127,490,4901,4901126201127,i0
04902470057897,490,4902,4902470057897,i0
04902470068466,490,4902,4902470068466,i0
04904785521209,490,4904,4904785521209,i0
04904785522305,490,4904,4904785522305,i0
04904785170148,490,4904,4904785170148,i0
04904785170155,490,4904,4904785170155,i0
04901860989947,490,4901,4901860989947,i0
04904785043930,490,4904,4904785043930,i0
04904785043855,490,4904,4904785043855,i0
04900070199511,490,4900,4900070199511,i0
04901860989985,490,4901,4901860989985,i0
04901780816668,490,4901,4901780816668,i0
04905524405217,490,4905,4905524405217,i0
04905524405231,490,4905,4905524405231,i0
04905524405255,490,4905,4905524405255,i0
04901780873326,490,4901,4901780873326,i0
04902470057200,490,4902,4902470057200,i0
04902470057262,490,4902,4902470057262,i0
04902470057347,490,4902,4902470057347,i0
04902470057422,490,4902,4902470057422,i0
04902470057477,490,4902,4902470057477,i0
04902470057521,490,4902,4902470057521,i0
04902470057606,490,4902,4902470057606,i0
04902470057668,490,4902,4902470057668,i0
04902470057729,490,4902,4902470057729,i0
04902470057750,490,4902,4902470057750,i0
04902470057859,490,4902,4902470057859,i0
04902470057866,490,4902,4902470057866,i0
04902470057873,490,4902,4902470057873,i0
04902470058054,490,4902,4902470058054,i0
04902470057811,490,4902,4902470057811,i0
04902470058092,490,4902,4902470058092,i0
04902470058139,490,4902,4902470058139,i0
04902470056012,490,4902,4902470056012,i0
04902470056050,490,4902,4902470056050,i0
04902470056067,490,4902,4902470056067,i0
04902470056074,490,4902,4902470056074,i0
04902470056128,490,4902,4902470056128,i0
04902470056166,490,4902,4902470056166,i0
04902470056173,490,4902,4902470056173,i0
04902470056180,490,4902,4902470056180,i0
04902470056272,490,4902,4902470056272,i0
04902470056319,490,4902,4902470056319,i0
04902470056326,490,4902,4902470056326,i0
04902470056333,490,4902,4902470056333,i0
04902470056388,490,4902,4902470056388,i0
04902470056418,490,4902,4902470056418,i0
04902470056425,490,4902,4902470056425,i0
04902470056449,490,4902,4902470056449,i0
04902470056470,490,4902,4902470056470,i0
04902470056487,490,4902,4902470056487,i0
04902470056593,490,4902,4902470056593,i0
04902470056647,490,4902,4902470056647,i0
04902470056692,490,4902,4902470056692,i0
04902470056739,490,4902,4902470056739,i0
04902470056746,490,4902,4902470056746,i0
04902470056753,490,4902,4902470056753,i0
04902470056906,490,4902,4902470056906,i0
04902470056937,490,4902,4902470056937,i0
04902470056944,490,4902,4902470056944,i0
04902470056951,490,4902,4902470056951,i0
04902470056999,490,4902,4902470056999,i0
04902470057057,490,4902,4902470057057,i0
04902470057064,490,4902,4902470057064,i0
04902470057071,490,4902,4902470057071,i0
04902470057163,490,4902,4902470057163,i0
04902470057187,490,4902,4902470057187,i0
04902470058061,490,4902,4902470058061,i0
04902470058108,490,4902,4902470058108,i0
04902470056500,490,4902,4902470056500,i0
04902470056548,490,4902,4902470056548,i0
04902470058306,490,4902,4902470058306,i0
04902470146782,490,4902,4902470146782,i0
04902470146799,490,4902,4902470146799,i0
04902470146805,490,4902,4902470146805,i0
04902470146812,490,4902,4902470146812,i0
04902470146775,490,4902,4902470146775,i0
04902470149301,490,4902,4902470149301,i0
04900719211017,490,4900,4900719211017,i0
