gtin14,jan3,jan4,jan13keta,indicator
04946306007632,494,4946,4946306007632,i0
04946306007663,494,4946,4946306007663,i0
04946306007670,494,4946,4946306007670,i0
04946306983929,494,4946,4946306983929,i0
04946306064611,494,4946,4946306064611,i0
04946306064628,494,4946,4946306064628,i0
04946306064635,494,4946,4946306064635,i0
04946306064642,494,4946,4946306064642,i0
04946306064659,494,4946,4946306064659,i0
04946306064666,494,4946,4946306064666,i0
04946306064673,494,4946,4946306064673,i0
04946306064680,494,4946,4946306064680,i0
04946306064697,494,4946,4946306064697,i0
04946306064703,494,4946,4946306064703,i0
04946306075471,494,4946,4946306075471,i0
04946306075488,494,4946,4946306075488,i0
04946306075495,494,4946,4946306075495,i0
04946306075501,494,4946,4946306075501,i0
04946306075518,494,4946,4946306075518,i0
04946306075525,494,4946,4946306075525,i0
04946306075563,494,4946,4946306075563,i0
04946306075570,494,4946,4946306075570,i0
04946306075587,494,4946,4946306075587,i0
04946306075594,494,4946,4946306075594,i0
04946306075600,494,4946,4946306075600,i0
04946306075617,494,4946,4946306075617,i0
04946306075624,494,4946,4946306075624,i0
04946306075631,494,4946,4946306075631,i0
04946306075648,494,4946,4946306075648,i0
04946306075655,494,4946,4946306075655,i0
04946306075662,494,4946,4946306075662,i0
04946306075679,494,4946,4946306075679,i0
04946306076942,494,4946,4946306076942,i0
04946306076959,494,4946,4946306076959,i0
04946306088488,494,4946,4946306088488,i0
04946306091068,494,4946,4946306091068,i0
04946306091075,494,4946,4946306091075,i0
04946306091082,494,4946,4946306091082,i0
04946306091099,494,4946,4946306091099,i0
04946306091105,494,4946,4946306091105,i0
04946306098982,494,4946,4946306098982,i0
04942962380645,494,4942,4942962380645,i0
04942962380652,494,4942,4942962380652,i0
04942962380669,494,4942,4942962380669,i0
04942962380683,494,4942,4942962380683,i0
04942962380690,494,4942,4942962380690,i0
04946306077277,494,4946,4946306077277,i0
04946306074900,494,4946,4946306074900,i0
04946306074917,494,4946,4946306074917,i0
04946329076615,494,4946,4946329076615,i0
04946329076622,494,4946,4946329076622,i0
04946329076639,494,4946,4946329076639,i0
04946329076646,494,4946,4946329076646,i0
04946329076653,494,4946,4946329076653,i0
04942962250443,494,4942,4942962250443,i0
04942962250610,494,4942,4942962250610,i0
04942962251501,494,4942,4942962251501,i0
04946433600072,494,4946,4946433600072,i0
04946433600355,494,4946,4946433600355,i0
04946329076851,494,4946,4946329076851,i0
04946329076868,494,4946,4946329076868,i0
04946452029960,494,4946,4946452029960,i0
04946329076783,494,4946,4946329076783,i0
04946329076790,494,4946,4946329076790,i0
04946329076806,494,4946,4946329076806,i0
04946329076813,494,4946,4946329076813,i0
04946329076820,494,4946,4946329076820,i0
04946329076837,494,4946,4946329076837,i0
04946329077254,494,4946,4946329077254,i0
04946329077261,494,4946,4946329077261,i0
04940577043740,494,4940,4940577043740,i0
04940577043733,494,4940,4940577043733,i0
