jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
4527799701964,04527799701964,台,,,,,眠りＳＣＡＮ （ＮＮ－１１２０）,NN-1120,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701971,04527799701971,台,,,,,眠りＳＣＡＮ（ＮＮ－１５２０）,NN-1520,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701995,04527799701995,台,,,,,眠りＳＣＡＮ （ＮＮ－１３２０）,NN-1320,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799704408,04527799704408,台,,,,,眠りＳＣＡＮ（ＮＮ－１１３０）,NN-1130,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799704415,04527799704415,台,,,,,眠りＳＣＡＮ（ＮＮ－１５３０）,NN-1530,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701889,04527799701889,台,,,,,電動分娩用ベッド　セレナス（ＫＡ－Ｐ２００）,KA-P200,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701896,04527799701896,台,,,,,透析・化学療法向けチェアＬ’ｚａ「エルザ」（ＫＡ－８２５１）,KA-8251,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701902,04527799701902,台,,,,,透析・化学療法向けチェアＬ’ｚａ「エルザ」（ＫＡ－８２６１）,KA-8261,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701667,04527799701667,個,,,,,ホットドッグ用コントローラ－,KC-T1WC52,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799704392,04527799704392,個,,,,,ホットドッグ用コントローラ－,KC-T1WC77,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701674,04527799701674,個,,,,,ホットドッグ用加温ブランケット,KC-T1B103B,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701681,04527799701681,個,,,,,ホットドッグ用加温ブランケット,KC-T1B104B,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701698,04527799701698,個,,,,,ホットドッグ用加温ブランケット,KC-T1B105B,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701704,04527799701704,個,,,,,ホットドッグ用加温ブランケット,KC-T1B110B,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701711,04527799701711,個,,,,,ホットドッグ用加温マットレス,KC-T1U101D,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701728,04527799701728,個,,,,,ホットドッグ用加温マットレス,KC-T1U102D,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701735,04527799701735,本,,,,,ホットドッグ用ケーブル,KC-T1A101,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701742,04527799701742,本,,,,,ホットドッグ用ケーブル,KC-T1A112,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799701759,04527799701759,本,,,,,ホットドッグ用ケーブル,KC-T1A112C,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527799704422,04527799704422,個,,,,,ホットドッグ用加温ブランケット,KC-T1B500B,-,,,パラマウントベッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
