gtin14,jan3,jan4,jan13keta
54987350090879,498,4987,4987350090874
54987350090893,498,4987,4987350090898
54987350090916,498,4987,4987350090911
54987350090954,498,4987,4987350090959
54987350090992,498,4987,4987350090997
54987350091036,498,4987,4987350091031
54987350091050,498,4987,4987350091055
54987350091074,498,4987,4987350091079
54987350091111,498,4987,4987350091116
54987350091159,498,4987,4987350091154
54987350091197,498,4987,4987350091192
54987350091234,498,4987,4987350091239
54987350091272,498,4987,4987350091277
54987350091296,498,4987,4987350091291
54987350091319,498,4987,4987350091314
54987350091333,498,4987,4987350091338
54987350091357,498,4987,4987350091352
54987350091371,498,4987,4987350091376
54987350091395,498,4987,4987350091390
54987350091418,498,4987,4987350091413
54987350091432,498,4987,4987350091437
54987350091456,498,4987,4987350091451
54987350091470,498,4987,4987350091475
54987350091494,498,4987,4987350091499
54987350091517,498,4987,4987350091512
54987350091531,498,4987,4987350091536
54987350091555,498,4987,4987350091550
54987350091579,498,4987,4987350091574
54987350091593,498,4987,4987350091598
54987350091616,498,4987,4987350091611
54987350091630,498,4987,4987350091635
54987350091654,498,4987,4987350091659
54987350091678,498,4987,4987350091673
54987350091692,498,4987,4987350091697
54987350091715,498,4987,4987350091710
54987350091739,498,4987,4987350091734
54987350091753,498,4987,4987350091758
54987350091777,498,4987,4987350091772
54987350091791,498,4987,4987350091796
54987350091814,498,4987,4987350091819
54987350091838,498,4987,4987350091833
54987350091852,498,4987,4987350091857
54987350091876,498,4987,4987350091871
54987350091890,498,4987,4987350091895
54987350091913,498,4987,4987350091918
54987350091937,498,4987,4987350091932
54987350091951,498,4987,4987350091956
54987350091975,498,4987,4987350091970
54987350091999,498,4987,4987350091994
54987350092019,498,4987,4987350092014
54987350092033,498,4987,4987350092038
54987350092057,498,4987,4987350092052
54987350092071,498,4987,4987350092076
54987350092095,498,4987,4987350092090
54987350092118,498,4987,4987350092113
54987350092132,498,4987,4987350092137
54987350092156,498,4987,4987350092151
54987350092170,498,4987,4987350092175
54987350092194,498,4987,4987350092199
54987350092217,498,4987,4987350092212
54987350092231,498,4987,4987350092236
54987350092255,498,4987,4987350092250
54987350092279,498,4987,4987350092274
54987350092293,498,4987,4987350092298
54987350092316,498,4987,4987350092311
54987350092330,498,4987,4987350092335
54987350092354,498,4987,4987350092359
54987350092378,498,4987,4987350092373
54987350092392,498,4987,4987350092397
54987350092415,498,4987,4987350092410
54987350092439,498,4987,4987350092434
54987350092453,498,4987,4987350092458
54987350092477,498,4987,4987350092472
54987350092491,498,4987,4987350092496
54987350092514,498,4987,4987350092519
54987350092538,498,4987,4987350092533
54987350092552,498,4987,4987350092557
54987350092576,498,4987,4987350092571
54987350092590,498,4987,4987350092595
54987350092613,498,4987,4987350092618
54987350092637,498,4987,4987350092632
54987350092651,498,4987,4987350092656
54987350092675,498,4987,4987350092670
54987350092699,498,4987,4987350092694
54987350092712,498,4987,4987350092717
54987350092736,498,4987,4987350092731
54987350092750,498,4987,4987350092755
54987350092774,498,4987,4987350092779
54987350092798,498,4987,4987350092793
54987350092811,498,4987,4987350092816
54987350092835,498,4987,4987350092830
54987350092859,498,4987,4987350092854
54987350092873,498,4987,4987350092878
54987350092897,498,4987,4987350092892
54987350092910,498,4987,4987350092915
54987350092934,498,4987,4987350092939
54987350092958,498,4987,4987350092953
54987350092972,498,4987,4987350092977
54987350092996,498,4987,4987350092991
54987350093016,498,4987,4987350093011
54987350093030,498,4987,4987350093035
54987350093054,498,4987,4987350093059
54987350093078,498,4987,4987350093073
54987350093092,498,4987,4987350093097
54987350093115,498,4987,4987350093110
54987350093139,498,4987,4987350093134
54987350093153,498,4987,4987350093158
54987350093177,498,4987,4987350093172
54987350093191,498,4987,4987350093196
54987350093214,498,4987,4987350093219
54987350093238,498,4987,4987350093233
54987350093252,498,4987,4987350093257
54987350093276,498,4987,4987350093271
54987350093290,498,4987,4987350093295
54987350093313,498,4987,4987350093318
54987350093337,498,4987,4987350093332
54987350093351,498,4987,4987350093356
54987350093375,498,4987,4987350093370
54987350093399,498,4987,4987350093394
54987350093412,498,4987,4987350093417
54987350093436,498,4987,4987350093431
54987350093450,498,4987,4987350093455
54987350093474,498,4987,4987350093479
54987350093498,498,4987,4987350093493
54987350093511,498,4987,4987350093516
54987350093535,498,4987,4987350093530
54987350093559,498,4987,4987350093554
54987350093573,498,4987,4987350093578
54987350093597,498,4987,4987350093592
54987350093610,498,4987,4987350093615
54987350093634,498,4987,4987350093639
54987350093658,498,4987,4987350093653
54987350093672,498,4987,4987350093677
54987350093696,498,4987,4987350093691
54987350093719,498,4987,4987350093714
54987350093733,498,4987,4987350093738
54987350093757,498,4987,4987350093752
54987350093771,498,4987,4987350093776
54987350093795,498,4987,4987350093790
54987350093818,498,4987,4987350093813
54987350093832,498,4987,4987350093837
54987350093856,498,4987,4987350093851
54987350093870,498,4987,4987350093875
54987350093917,498,4987,4987350093912
54987350093931,498,4987,4987350093936
54987350093955,498,4987,4987350093950
54987350093979,498,4987,4987350093974
54987350093993,498,4987,4987350093998
54987350094013,498,4987,4987350094018
54987350094037,498,4987,4987350094032
54987350094051,498,4987,4987350094056
54987350094075,498,4987,4987350094070
54987350094099,498,4987,4987350094094
54987350094112,498,4987,4987350094117
54987350094136,498,4987,4987350094131
54987350094211,498,4987,4987350094216
54987350094235,498,4987,4987350094230
54987350094259,498,4987,4987350094254
54987350094273,498,4987,4987350094278
54987350094297,498,4987,4987350094292
54987350094310,498,4987,4987350094315
54987350094334,498,4987,4987350094339
54987350094358,498,4987,4987350094353
54987350094372,498,4987,4987350094377
54987350094396,498,4987,4987350094391
54987350094419,498,4987,4987350094414
54987350094433,498,4987,4987350094438
54987350094457,498,4987,4987350094452
54987350094471,498,4987,4987350094476
54987350094495,498,4987,4987350094490
54987350094518,498,4987,4987350094513
54987350094532,498,4987,4987350094537
54987350094556,498,4987,4987350094551
54987350094570,498,4987,4987350094575
54987350094594,498,4987,4987350094599
54987350094617,498,4987,4987350094612
54987350094631,498,4987,4987350094636
54987350094655,498,4987,4987350094650
54987350094679,498,4987,4987350094674
54987350094693,498,4987,4987350094698
54987350094716,498,4987,4987350094711
54987350094730,498,4987,4987350094735
54987350094754,498,4987,4987350094759
54987350094778,498,4987,4987350094773
54987350094792,498,4987,4987350094797
54987350094815,498,4987,4987350094810
54987350094839,498,4987,4987350094834
54987350094853,498,4987,4987350094858
54987350094877,498,4987,4987350094872
54987350094891,498,4987,4987350094896
54987350094914,498,4987,4987350094919
54987350094938,498,4987,4987350094933
54987350094952,498,4987,4987350094957
54987350094976,498,4987,4987350094971
54987350094990,498,4987,4987350094995
54987350095010,498,4987,4987350095015
54987350095034,498,4987,4987350095039
54987350095058,498,4987,4987350095053
