jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
5425025750030,05425025750030,個,,,,,ＶＮＳ　ジェネレータ　Ｄｅｍｉｐｕｌｓｅ　Ｍ１０３,10-0011-1601,－,1710000,1,リヴァノヴァ,710010606,植込型迷走神経電気刺激装置,1710000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750061,05425025750061,個,,,,,ＶＮＳ　ジェネレータ　Ａｓｐｉｒｅ　ＳＲ　Ｍ１０６,10-0011-2101,－,1710000,1,リヴァノヴァ,710010606,植込型迷走神経電気刺激装置,1710000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750115,05425025750115,個,,,,,ＶＮＳ　リード　Ｍ３０３　（２ｍｍ）,10-0011-1204,径2.0ｍｍ／全長430ｍｍ,187000,1,リヴァノヴァ,710010607,迷走神経刺激装置用リ-ドセット,187000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750122,05425025750122,個,,,,,ＶＮＳ　リード　Ｍ３０３　（３ｍｍ）,10-0011-1206,径3.0ｍｍ／全長430ｍｍ,187000,1,リヴァノヴァ,710010607,迷走神経刺激装置用リ-ドセット,187000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750139,05425025750139,個,,,,,ＶＮＳ　リード　Ｍ３０４　（２ｍｍ）,10-0011-1304,径2.0ｍｍ／全長430ｍｍ,187000,1,リヴァノヴァ,710010607,迷走神経刺激装置用リ-ドセット,187000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750153,05425025750153,個,,,,,ＶＮＳ　リード　Ｍ３０４　（３ｍｍ）,10-0011-1306,径3.0ｍｍ／全長430ｍｍ,187000,1,リヴァノヴァ,710010607,迷走神経刺激装置用リ-ドセット,187000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750160,05425025750160,個,,,,,ＶＮＳ　プログラミングワンド　Ｍ２０１,10-0011-9900,－,,,リヴァノヴァ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750238,05425025750238,個,,,,,ＶＮＳ　トネラ　Ｍ４０２,10-0011-2301,－,,,リヴァノヴァ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750047,05425025750047,個,,,,,VNSジェネレーター Demipulse Duo M104,10-0011-1701,-,1710000,1,リヴァノヴァ,710010606,植込型迷走神経電気刺激装置,1710000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750405,,,15425025750402,個,,,SenTiva Model M1000,10-0013-2402,Generator,1710000,1,リヴァノヴァ,710010606,植込型迷走神経電気刺激装置,1710000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750177,05425025750177,個,,,,,VNSプログラミングワンドM2000,10-0012-2801,-,,,リヴァノヴァ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750443,05425025750443,個,,,,,VNSプログラマM3000,10-0012-2711,-,,,リヴァノヴァ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425025750535,05425025750535,個,,,,,VNSプログラマM3000,10-0012-6511,-,,,リヴァノヴァ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
