gtin14,jan3,jan4,jan13keta,indicator
14026704582652,402,4026,4026704582655,i1
14026704582669,402,4026,4026704582662,i1
14026704582874,402,4026,4026704582877,i1
14026704582867,402,4026,4026704582860,i1
14026704582911,402,4026,4026704582914,i1
14026704582928,402,4026,4026704582921,i1
14026704582836,402,4026,4026704582839,i1
14026704582904,402,4026,4026704582907,i1
14026704582812,402,4026,4026704582815,i1
14026704582843,402,4026,4026704582846,i1
14026704582850,402,4026,4026704582853,i1
14026704582805,402,4026,4026704582808,i1
14026704582829,402,4026,4026704582822,i1
14026704582935,402,4026,4026704582938,i1
14026704735577,402,4026,4026704735570,i1
14026704631763,402,4026,4026704631766,i1
14026704631770,402,4026,4026704631773,i1
14026704631787,402,4026,4026704631780,i1
14026704601599,402,4026,4026704601592,i1
14026704601605,402,4026,4026704601608,i1
14026704601612,402,4026,4026704601615,i1
14026704601629,402,4026,4026704601622,i1
14026704601643,402,4026,4026704601646,i1
14026704601650,402,4026,4026704601653,i1
14026704601667,402,4026,4026704601660,i1
14026704601674,402,4026,4026704601677,i1
14026704601681,402,4026,4026704601684,i1
14026704695895,402,4026,4026704695898,i1
14026704612786,402,4026,4026704612789,i1
14026704429537,402,4026,4026704429530,i1
14026704559821,402,4026,4026704559824,i1
14026704559838,402,4026,4026704559831,i1
14026704559920,402,4026,4026704559923,i1
14026704599070,402,4026,4026704599073,i1
14026704599483,402,4026,4026704599486,i1
14026704599490,402,4026,4026704599493,i1
14026704599513,402,4026,4026704599516,i1
14026704599674,402,4026,4026704599677,i1
14026704600103,402,4026,4026704600106,i1
14026704600110,402,4026,4026704600113,i1
14026704600134,402,4026,4026704600137,i1
14022495250671,402,4022,4022495250674,i1
14022495250725,402,4022,4022495250728,i1
14022495250770,402,4022,4022495250773,i1
14022495250824,402,4022,4022495250827,i1
14022495250879,402,4022,4022495250872,i1
14022495250923,402,4022,4022495250926,i1
14022495250978,402,4022,4022495250971,i1
14022495251029,402,4022,4022495251022,i1
14022495251371,402,4022,4022495251374,i1
14022495251210,402,4022,4022495251213,i1
14022495251166,402,4022,4022495251169,i1
14022495251111,402,4022,4022495251114,i1
14022495251067,402,4022,4022495251060,i1
14022495181418,402,4022,4022495181411,i1
14022495251418,402,4022,4022495251411,i1
14022495251319,402,4022,4022495251312,i1
14022495251265,402,4022,4022495251268,i1
14022495181661,402,4022,4022495181664,i1
14022495188332,402,4022,4022495188335,i1
14022495251876,402,4022,4022495251879,i1
14022495252088,402,4022,4022495252081,i1
14026704629586,402,4026,4026704629589,i1
14027478029626,402,4027,4027478029629,i1
14022495769937,402,4022,4022495769930,i1
14022495825374,402,4022,4022495825377,i1
14022495276657,402,4022,4022495276650,i1
14022495238334,402,4022,4022495238337,i1
14022495004373,402,4022,4022495004376,i1
14022495015973,402,4022,4022495015976,i1
14022495044522,402,4022,4022495044525,i1
14022495072372,402,4022,4022495072375,i1
14022495074024,402,4022,4022495074027,i1
14022495077674,402,4022,4022495077677,i1
14022495080070,402,4022,4022495080073,i1
14022495119626,402,4022,4022495119629,i1
14022495133721,402,4022,4022495133724,i1
14022495014600,402,4022,4022495014603,i1
14022495054750,402,4022,4022495054753,i1
14022495054804,402,4022,4022495054807,i1
14022495871234,402,4022,4022495871237,i1
14022495002072,402,4022,4022495002075,i1
14022495266863,402,4022,4022495266866,i1
14022495086003,402,4022,4022495086006,i1
14022495144604,402,4022,4022495144607,i1
14022495192865,402,4022,4022495192868,i1
14022495086713,402,4022,4022495086716,i1
14022495085952,402,4022,4022495085955,i1
14022495086072,402,4022,4022495086075,i1
14026704644992,402,4026,4026704644995,i1
14026704645029,402,4026,4026704645022,i1
14026704645050,402,4026,4026704645053,i1
14026704645081,402,4026,4026704645084,i1
14026704645128,402,4026,4026704645121,i1
14026704645142,402,4026,4026704645145,i1
14026704645180,402,4026,4026704645183,i1
14026704645197,402,4026,4026704645190,i1
14026704645203,402,4026,4026704645206,i1
14026704645210,402,4026,4026704645213,i1
14026704645227,402,4026,4026704645220,i1
14026704645234,402,4026,4026704645237,i1
14026704645241,402,4026,4026704645244,i1
14026704645265,402,4026,4026704645268,i1
14022495115086,402,4022,4022495115089,i1
14022495214369,402,4022,4022495214362,i1
14022495101157,402,4022,4022495101150,i1
14022495101201,402,4022,4022495101204,i1
14022495101256,402,4022,4022495101259,i1
14022495101300,402,4022,4022495101303,i1
14022495112351,402,4022,4022495112354,i1
14022495025705,402,4022,4022495025708,i1
14022495139907,402,4022,4022495139900,i1
14022495267167,402,4022,4022495267160,i1
14022495267211,402,4022,4022495267214,i1
14022495267266,402,4022,4022495267269,i1
14022495267310,402,4022,4022495267313,i1
14022495267365,402,4022,4022495267368,i1
14022495267419,402,4022,4022495267412,i1
14022495267464,402,4022,4022495267467,i1
14022495267518,402,4022,4022495267511,i1
14022495267563,402,4022,4022495267566,i1
14022495267617,402,4022,4022495267610,i1
14022495267662,402,4022,4022495267665,i1
14022495267761,402,4022,4022495267764,i1
14022495267815,402,4022,4022495267818,i1
14022495267860,402,4022,4022495267863,i1
14022495267914,402,4022,4022495267917,i1
14022495267969,402,4022,4022495267962,i1
14022495268010,402,4022,4022495268013,i1
14022495268065,402,4022,4022495268068,i1
14022495268119,402,4022,4022495268112,i1
14022495268164,402,4022,4022495268167,i1
14022495268218,402,4022,4022495268211,i1
14022495268263,402,4022,4022495268266,i1
14022495284256,402,4022,4022495284259,i1
14022495284652,402,4022,4022495284655,i1
14022495284676,402,4022,4022495284679,i1
14022495284713,402,4022,4022495284716,i1
14022495284775,402,4022,4022495284778,i1
14022495284799,402,4022,4022495284792,i1
14022495284812,402,4022,4022495284815,i1
14022495286991,402,4022,4022495286994,i1
14022495139808,402,4022,4022495139801,i1
14022495139853,402,4022,4022495139856,i1
14022495139952,402,4022,4022495139955,i1
14022495140002,402,4022,4022495140005,i1
14022495140057,402,4022,4022495140050,i1
14022495191110,402,4022,4022495191113,i1
14022495191165,402,4022,4022495191168,i1
14022495191318,402,4022,4022495191311,i1
14022495191462,402,4022,4022495191465,i1
14022495191769,402,4022,4022495191762,i1
14022495286601,402,4022,4022495286604,i1
14022495286625,402,4022,4022495286628,i1
14022495286632,402,4022,4022495286635,i1
14026704582898,402,4026,4026704582891,i1
14026704582881,402,4026,4026704582884,i1
14022495291889,402,4022,4022495291882,i1
14022495291902,402,4022,4022495291905,i1
14022495817348,402,4022,4022495817341,i1
14022495769838,402,4022,4022495769831,i1
14022495769821,402,4022,4022495769824,i1
14022495054613,402,4022,4022495054616,i1
14022495054668,402,4022,4022495054661,i1
14022495057355,402,4022,4022495057358,i1
14022495770384,402,4022,4022495770387,i1
14022495861259,402,4022,4022495861252,i1
14022495055405,402,4022,4022495055408,i1
