gtin14,jan3,jan4,jan13keta,indicator
14052838011690,405,4052,4052838011693,i1
14052838011706,405,4052,4052838011709,i1
14052838011744,405,4052,4052838011747,i1
14052838011751,405,4052,4052838011754,i1
14052838011775,405,4052,4052838011778,i1
14052838011799,405,4052,4052838011792,i1
14052838007464,405,4052,4052838007467,i1
14052838007488,405,4052,4052838007481,i1
14052838007501,405,4052,4052838007504,i1
14052838008478,405,4052,4052838008471,i1
14052838008492,405,4052,4052838008495,i1
14052838008577,405,4052,4052838008570,i1
14052838008591,405,4052,4052838008594,i1
14052838008553,405,4052,4052838008556,i1
14052838008539,405,4052,4052838008532,i1
14052838008515,405,4052,4052838008518,i1
14052838008454,405,4052,4052838008457,i1
14052838009659,405,4052,4052838009652,i1
14052838009390,405,4052,4052838009393,i1
14052838009673,405,4052,4052838009676,i1
14052838009413,405,4052,4052838009416,i1
14056702002227,405,4056,4056702002220,i1
14056702005846,405,4056,4056702005849,i1
14050659531205,405,4050,4050659531208,i1
14050659531229,405,4050,4050659531222,i1
14050659531267,405,4050,4050659531260,i1
14050659531281,405,4050,4050659531284,i1
14050659531328,405,4050,4050659531321,i1
14050659531342,405,4050,4050659531345,i1
14050659531380,405,4050,4050659531383,i1
14050659531403,405,4050,4050659531406,i1
14050659531441,405,4050,4050659531444,i1
14050659531465,405,4050,4050659531468,i1
14050659531496,405,4050,4050659531499,i1
14050659531519,405,4050,4050659531512,i1
14050659531540,405,4050,4050659531543,i1
14050659531564,405,4050,4050659531567,i1
14050659531595,405,4050,4050659531598,i1
14050659531618,405,4050,4050659531611,i1
14050659531649,405,4050,4050659531642,i1
14050659531663,405,4050,4050659531666,i1
14050659531700,405,4050,4050659531703,i1
14050659531724,405,4050,4050659531727,i1
14050659531762,405,4050,4050659531765,i1
14050659531786,405,4050,4050659531789,i1
14050659531823,405,4050,4050659531826,i1
14050659531847,405,4050,4050659531840,i1
14050659531885,405,4050,4050659531888,i1
14050659531908,405,4050,4050659531901,i1
14050659531939,405,4050,4050659531932,i1
14050659531953,405,4050,4050659531956,i1
14050659531984,405,4050,4050659531987,i1
14050659532004,405,4050,4050659532007,i1
14050659532042,405,4050,4050659532045,i1
14050659532066,405,4050,4050659532069,i1
14050659532097,405,4050,4050659532090,i1
14050659532110,405,4050,4050659532113,i1
14050659532141,405,4050,4050659532144,i1
14050659532165,405,4050,4050659532168,i1
14050659532202,405,4050,4050659532205,i1
14050659532226,405,4050,4050659532229,i1
14050659532264,405,4050,4050659532267,i1
14050659532288,405,4050,4050659532281,i1
14050659532301,405,4050,4050659532304,i1
14050659532325,405,4050,4050659532328,i1
14050659532363,405,4050,4050659532366,i1
14050659532387,405,4050,4050659532380,i1
14050659532424,405,4050,4050659532427,i1
14050659532448,405,4050,4050659532441,i1
14050659532462,405,4050,4050659532465,i1
14050659532486,405,4050,4050659532489,i1
14050659532509,405,4050,4050659532502,i1
14050659532523,405,4050,4050659532526,i1
14050659532561,405,4050,4050659532564,i1
14050659532585,405,4050,4050659532588,i1
14050659532608,405,4050,4050659532601,i1
14050659532622,405,4050,4050659532625,i1
14050659532646,405,4050,4050659532649,i1
14050659532660,405,4050,4050659532663,i1
14050659532707,405,4050,4050659532700,i1
14050659532721,405,4050,4050659532724,i1
14050659532769,405,4050,4050659532762,i1
14050659532783,405,4050,4050659532786,i1
14050659532806,405,4050,4050659532809,i1
14050659532820,405,4050,4050659532823,i1
14050659532868,405,4050,4050659532861,i1
14050659532882,405,4050,4050659532885,i1
14050659532929,405,4050,4050659532922,i1
14050659532943,405,4050,4050659532946,i1
14050659532967,405,4050,4050659532960,i1
14050659532981,405,4050,4050659532984,i1
14050659533001,405,4050,4050659533004,i1
14050659533025,405,4050,4050659533028,i1
14050659533063,405,4050,4050659533066,i1
14050659533087,405,4050,4050659533080,i1
14050659533100,405,4050,4050659533103,i1
14050659533124,405,4050,4050659533127,i1
14050659533148,405,4050,4050659533141,i1
14050659533162,405,4050,4050659533165,i1
14050659533209,405,4050,4050659533202,i1
14050659533223,405,4050,4050659533226,i1
14050659533261,405,4050,4050659533264,i1
14050659533285,405,4050,4050659533288,i1
14050659533308,405,4050,4050659533301,i1
14050659533322,405,4050,4050659533325,i1
14050659533360,405,4050,4050659533363,i1
14050659533384,405,4050,4050659533387,i1
14050659533421,405,4050,4050659533424,i1
14050659533445,405,4050,4050659533448,i1
14050659533469,405,4050,4050659533462,i1
14050659533483,405,4050,4050659533486,i1
14050659533506,405,4050,4050659533509,i1
14050659533520,405,4050,4050659533523,i1
14050659533568,405,4050,4050659533561,i1
14050659533582,405,4050,4050659533585,i1
14050659533605,405,4050,4050659533608,i1
14050659533629,405,4050,4050659533622,i1
