gtin14,jan3,jan4,jan13
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
07630000000000,763,7630,7630000000000
