gtin14,jan3,jan4,jan13keta
84987707151216,498,4987,4987707151210
84987707151223,498,4987,4987707151227
84987671200385,498,4987,4987671200389
84987671200385,498,4987,4987671200389
84987671200385,498,4987,4987671200389
84987671200385,498,4987,4987671200389
84987671200385,498,4987,4987671200389
84987671200385,498,4987,4987671200389
84987671200385,498,4987,4987671200389
84987671200385,498,4987,4987671200389
84987671200392,498,4987,4987671200396
84987671200392,498,4987,4987671200396
84987671200392,498,4987,4987671200396
84987671200392,498,4987,4987671200396
84987671200392,498,4987,4987671200396
84987671200392,498,4987,4987671200396
84987671200392,498,4987,4987671200396
84987671200392,498,4987,4987671200396
84987671200545,498,4987,4987671200549
84987671200545,498,4987,4987671200549
84987671200545,498,4987,4987671200549
84987671200545,498,4987,4987671200549
84987671200545,498,4987,4987671200549
84987671200545,498,4987,4987671200549
84987671200545,498,4987,4987671200549
84987671200545,498,4987,4987671200549
84987671200606,498,4987,4987671200600
84987671200606,498,4987,4987671200600
84987671200606,498,4987,4987671200600
84987671200606,498,4987,4987671200600
84987671200606,498,4987,4987671200600
84987671200606,498,4987,4987671200600
84987671200606,498,4987,4987671200600
84987671200606,498,4987,4987671200600
84987671200613,498,4987,4987671200617
84987671200613,498,4987,4987671200617
84987671200613,498,4987,4987671200617
84987671200613,498,4987,4987671200617
84987671200613,498,4987,4987671200617
84987671200613,498,4987,4987671200617
84987671200613,498,4987,4987671200617
84987671200613,498,4987,4987671200617
84987671200651,498,4987,4987671200655
84987671200651,498,4987,4987671200655
84987671200651,498,4987,4987671200655
84987671200651,498,4987,4987671200655
84987671200651,498,4987,4987671200655
84987671200651,498,4987,4987671200655
84987671200651,498,4987,4987671200655
84987671200651,498,4987,4987671200655
84987671200668,498,4987,4987671200662
84987671200668,498,4987,4987671200662
84987671200668,498,4987,4987671200662
84987671200668,498,4987,4987671200662
84987671200668,498,4987,4987671200662
84987671200668,498,4987,4987671200662
84987671200668,498,4987,4987671200662
84987671200668,498,4987,4987671200662
84987671200675,498,4987,4987671200679
84987671200675,498,4987,4987671200679
84987671200675,498,4987,4987671200679
84987671200675,498,4987,4987671200679
84987671200675,498,4987,4987671200679
84987671200675,498,4987,4987671200679
84987671200675,498,4987,4987671200679
84987671200675,498,4987,4987671200679
84987671200965,498,4987,4987671200969
84987671200965,498,4987,4987671200969
84987671200965,498,4987,4987671200969
84987671200965,498,4987,4987671200969
84987671200965,498,4987,4987671200969
84987671200965,498,4987,4987671200969
84987671200965,498,4987,4987671200969
84987671200965,498,4987,4987671200969
84987671200972,498,4987,4987671200976
84987671200972,498,4987,4987671200976
84987671200972,498,4987,4987671200976
84987671200972,498,4987,4987671200976
84987671200972,498,4987,4987671200976
84987671200972,498,4987,4987671200976
84987671200972,498,4987,4987671200976
84987671200972,498,4987,4987671200976
84987671200989,498,4987,4987671200983
84987671200989,498,4987,4987671200983
84987671200989,498,4987,4987671200983
84987671200989,498,4987,4987671200983
84987671200989,498,4987,4987671200983
84987671200989,498,4987,4987671200983
84987671200989,498,4987,4987671200983
84987671200989,498,4987,4987671200983
84987707101112,498,4987,4987707101116
84987707101112,498,4987,4987707101116
84987707101112,498,4987,4987707101116
84987707101129,498,4987,4987707101123
84987707101129,498,4987,4987707101123
84987707101129,498,4987,4987707101123
84987707101136,498,4987,4987707101130
84987707101136,498,4987,4987707101130
84987707101136,498,4987,4987707101130
84987707101143,498,4987,4987707101147
84987707101143,498,4987,4987707101147
84987707101143,498,4987,4987707101147
84987707101228,498,4987,4987707101222
84987707101228,498,4987,4987707101222
84987707101228,498,4987,4987707101222
84987707101235,498,4987,4987707101239
84987707101235,498,4987,4987707101239
84987707101235,498,4987,4987707101239
84987707101242,498,4987,4987707101246
84987707101242,498,4987,4987707101246
84987707101242,498,4987,4987707101246
84987707101259,498,4987,4987707101253
84987707101259,498,4987,4987707101253
84987707101259,498,4987,4987707101253
84987707101334,498,4987,4987707101338
84987707101334,498,4987,4987707101338
84987707101334,498,4987,4987707101338
84987707101341,498,4987,4987707101345
84987707101341,498,4987,4987707101345
84987707101341,498,4987,4987707101345
84987707101358,498,4987,4987707101352
84987707101358,498,4987,4987707101352
84987707101358,498,4987,4987707101352
84987707260109,498,4987,4987707260103
84987707260109,498,4987,4987707260103
84987707260109,498,4987,4987707260103
84987707260147,498,4987,4987707260141
84987707260147,498,4987,4987707260141
84987707260147,498,4987,4987707260141
84987707260185,498,4987,4987707260189
84987707260185,498,4987,4987707260189
84987707260185,498,4987,4987707260189
84987707260222,498,4987,4987707260226
84987707260222,498,4987,4987707260226
84987707260222,498,4987,4987707260226
84987707261106,498,4987,4987707261100
84987707261106,498,4987,4987707261100
84987707261106,498,4987,4987707261100
84987707261144,498,4987,4987707261148
84987707261144,498,4987,4987707261148
84987707261144,498,4987,4987707261148
84987707261182,498,4987,4987707261186
84987707261182,498,4987,4987707261186
84987707261182,498,4987,4987707261186
84987707261229,498,4987,4987707261223
84987707261229,498,4987,4987707261223
84987707261229,498,4987,4987707261223
84987707262141,498,4987,4987707262145
84987707262141,498,4987,4987707262145
84987707262141,498,4987,4987707262145
84987707262189,498,4987,4987707262183
84987707262189,498,4987,4987707262183
84987707262189,498,4987,4987707262183
84987707262226,498,4987,4987707262220
84987707262226,498,4987,4987707262220
84987707262226,498,4987,4987707262220
