jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
5704916000837,05704916000837,個,15704916000834,箱,,,BK 非血管系手術向けトランスデューサー用ディスポーザブルニードルガイド,UA1336,ディスポーザブル ニードルガイド 8815/9015(I14C5I)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916000851,05704916000851,個,15704916000858,箱,,,BK 非血管系手術向けトランスデューサー用ディスポーザブルニードルガイド,UA1337,ディスポーザブル ニードルガイド 8824/9024(I12C5b)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916000998,05704916000998,個,15704916000995,箱,,,BK 非血管系手術向けトランスデューサー用ディスポーザブルニードルガイド,UA1345,ディスポーザブル ニードルガイド 9062(N13C5)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001018,05704916001018,個,15704916001015,箱,,,BK 非血管系手術向けトランスデューサー用ディスポーザブルニードルガイド,UA1346,ディスポーザブル ニードルガイド 9063(N11C5s)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916000738,05704916000738,個,15704916000735,箱,,,BK 直腸向けトランスデューサー用ディスポーザブルニードルガイド,UA1322-S,トランスデューサー8818用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916000776,05704916000776,個,15704916000773,箱,,,BK 直腸向けトランスデューサー用ディスポーザブルニードルガイド,UA1323-S,トランスデューサー8818用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916000790,05704916000790,個,15704916000797,箱,,,BK 直腸向けトランスデューサー用ディスポーザブルニードルガイド,UA1329-S,トランスデューサー8818用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916000875,05704916000875,個,15704916000872,個,,,BK 手持型トランスデユーサー用ディスポーザブルニードルガイ ド,UA1338,9032(8L2)， 9051(14L3)， 9086(14L3e)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916000974,05704916000974,個,15704916000971,個,,,BK 手持型トランスデユーサー用ディスポーザブルニードルガイ ド,UA1344,9085(5C1e)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001421,05704916001421,個,,,,,BK 手持型トランスデューサー用再利用型ニードルガイド,UA1250,8820e/8823/8830/9002(9C2)/9023(6C2s)/9040(6C2)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001438,05704916001438,個,,,,,BK 手持型トランスデューサー用再利用型ニードルガイド,UA1251,8870/9070(18L5)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001414,05704916001414,個,,,,,BK 手持型トランスデューサー用再利用型ニードルガイド,UA1239,8811/9011(13L4W)/9022(10L2W)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001407,05704916001407,個,,,,,BK 経直腸・経膣トランスデューサー用再利用型ニードルガイド,UA1232,8848/9048(E14CL4b)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001513,05704916001513,個,,,,,BK 経直腸・経膣トランスデューサー用再利用型ニードルガイド,UA1282,9019(E10C4)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001520,05704916001520,個,,,,,BK 経直腸・経膣トランスデューサー用再利用型ニードルガイド,UA1324,8818/9018(E14C4t)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001551,05704916001551,個,,,,,BK 経直腸・経膣トランスデューサー用再利用型ニードルガイド,UA1326,8818/9008(E11C3b)/9018(E14C4t)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001568,05704916001568,個,,,,,BK 経直腸・経膣トランスデューサー用再利用型ニードルガイド,UA1327,8818/9018(E14C4t)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001575,05704916001575,個,,,,,BK 経直腸・経膣トランスデューサー用再利用型ニードルガイド,UA1328,8818/9018(E14C4t)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704916001582,05704916001582,個,,,,,BK 経直腸・経膣トランスデューサー用再利用型ニードルガイド,UA1349,9029(E13C2)用,,,コーブリッジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
