jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
4903357161546,04903357161546,包,14903357161543,梱,,,カットガーゼ,139766,医療ガーゼ,,,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357166237,04903357166237,包,14903357166234,ケース,,,医療機器カッテガーゼ20枚入,160312,8ｃｍ×10ｃｍ,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357176250,04903357176250,包,14903357176257,ケース,,,医療機器カッテガーゼ18ｃｍロール,160317,18ｃｍ×10ｍ,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357176267,04903357176267,包,14903357176264,ケース,,,医療機器カッテガーゼ30ｃｍロール,160315,30ｃｍ×10ｍ,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110100,04903357110100,包,14903357110107,梱,,,龍宮綿50ｇ,110100,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110117,04903357110117,包,14903357110114,梱,,,龍宮綿100ｇ,110110,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110124,04903357110124,包,14903357110121,ケース,,,龍宮綿500ｇ平,110120,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110131,04903357110131,包,14903357110138,ケース,,,龍宮綿500ｇ,110130,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110148,04903357110148,包,14903357110145,ケース,,,龍宮綿500ｇ4×4,110140,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110155,04903357110155,包,14903357110152,梱,,,龍宮綿100ｇ平,110112,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110162,04903357110162,包,14903357110169,ケース,,,ハイメンカ60ｇ,110160,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903357110179,04903357110179,包,14903357110176,ケース,,,龍宮綿250ｇ平,110150,医療脱脂綿,,1,龍宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328083877,04903328083877,枚,14903328083874,箱,,,アンギオドレープ（ＳＢ　６穴　３５５　Ｗ）,SB6A1-223,ＳＢ　６穴　３５５　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328083853,04903328083853,枚,14903328083850,箱,,,アンギオドレープ（ＳＢ　１穴　３１０）,SB1F0-157-1,ＳＢ　１穴　３１０,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328083051,04903328083051,枚,14903328083058,箱,,,アンギオドレープ（ＳＢ　２穴　３５５　Ｗ）,SB2A1-001,ＳＢ　２穴　３５５　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328083914,04903328083914,枚,14903328083911,箱,,,アンギオドレープ（ＳＢ　２穴　３５５　Ｗ）,SB2A1-233,ＳＢ　２穴　３５５　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328084492,04903328084492,枚,14903328084499,箱,,,アンギオドレープ（ＳＢ　６穴　３１０　Ｗ）,SB6A1-046,ＳＢ　６穴　３１０　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328083013,04903328083013,枚,14903328083010,箱,,,アンギオドレープ（ＳＢ　６穴　３５５　Ｗ）,SB6B1-001,ＳＢ　６穴　３５５　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328086656,04903328086656,枚,14903328086653,箱,,,アンギオドレープ（ＳＬ　１穴　３５５　Ｗ）－２,SL1F1-169-2,ＳＬ　１穴　３５５　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328084058,04903328084058,枚,14903328084055,箱,,,アンギオドレープ（ＳＬ　２穴　３５５　Ｗ）,SL2A1-001,ＳＬ　２穴　３５５　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328084102,04903328084102,枚,14903328084109,箱,,,アンギオドレープ（ＳＬ　２穴　３８０　Ｗ）,SL2A1-002,ＳＬ　２穴　３８０　Ｗ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903328085017,04903328085017,枚,14903328085014,箱,,,アンギオドレープ（ＳＬ　２穴　３５５　ＤＷ）,SL2A2-078,ＳＬ　２穴　３５５　ＤＷ,,,スーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
