gtin14,jan3,jan4,jan13
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
04540000000000,454,4540,4540000000000
