jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
0667085005070,00667085005070,個,,,20667085005074,箱,ディスポチューブ1CM-3M　ACCUBACヨウ,E3645,ディスポチューブ1CM-3M　ACCUBACヨウ,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085012078,00667085012078,個,,,20667085012072,箱,カイフクシュジュツヨウ1/4チューブ,SEA3705,カイフクシュジュツヨウ1/4チューブ,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085012085,00667085012085,個,,,20667085012089,箱,カイフクシュジュツヨウ3/8チューブ,SEA3710,カイフクシュジュツヨウ3/8チューブ,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085012092,00667085012092,個,,,20667085012096,箱,カイフクシュジュツヨウ7/8チューブ,SEA3715,カイフクシュジュツヨウ7/8チューブ,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085012108,00667085012108,個,,,20667085012102,箱,ナイシキョウシュジュツヨウチューブ,SEA3720,ナイシキョウシュジュツヨウチューブ,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085000037,00667085000037,個,,,20667085000031,箱,大人用REM ポリヘッシブ対極,E7507,-,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085000044,00667085000044,個,,,20667085000048,箱,大人用REM ポリヘッシブ対極,E7507DB,-,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085000051,00667085000051,個,,,20667085000055,箱,大人用REM ポリヘッシブ対極,E7509,-,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085000075,00667085000075,個,,,20667085000079,箱,小児用 REM ポリヘッシブ対,E751025,-,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085006060,00667085006060,個,,,20667085006064,箱,テイタイジュシンセイジヨウポリヘシブタイキョクバン,E7512,-,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0667085000952,00667085000952,個,,,20667085000956,箱,レクトロブレーシブ　メスサキデンキョククリーナー,E2401,レクトロブレーシブ　メスサキデンキョククリーナー,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
