gtin14,jan3,jan4,jan13keta,indicator
00707387565503,070,0707,0707387565503,i0
00707387565527,070,0707,0707387565527,i0
00707387565510,070,0707,0707387565510,i0
00707387565480,070,0707,0707387565480,i0
00707387565282,070,0707,0707387565282,i0
00707387580391,070,0707,0707387580391,i0
00707387580384,070,0707,0707387580384,i0
00707387581657,070,0707,0707387581657,i0
00707387581695,070,0707,0707387581695,i0
00707387581688,070,0707,0707387581688,i0
00707387581671,070,0707,0707387581671,i0
00707387581701,070,0707,0707387581701,i0
00707387581831,070,0707,0707387581831,i0
00707387581855,070,0707,0707387581855,i0
00707387581848,070,0707,0707387581848,i0
00707387765422,070,0707,0707387765422,i0
00707387765439,070,0707,0707387765439,i0
00707387765446,070,0707,0707387765446,i0
00707387765453,070,0707,0707387765453,i0
00707387765460,070,0707,0707387765460,i0
00707387765477,070,0707,0707387765477,i0
00707387765484,070,0707,0707387765484,i0
00707387765491,070,0707,0707387765491,i0
00707387060527,070,0707,0707387060527,i0
00707387060534,070,0707,0707387060534,i0
00707387060541,070,0707,0707387060541,i0
00707387060558,070,0707,0707387060558,i0
00707387096458,070,0707,0707387096458,i0
00707387232795,070,0707,0707387232795,i0
00707387237455,070,0707,0707387237455,i0
00707387237479,070,0707,0707387237479,i0
00707387408299,070,0707,0707387408299,i0
00707387443771,070,0707,0707387443771,i0
00707387446680,070,0707,0707387446680,i0
00707387446697,070,0707,0707387446697,i0
00707387446772,070,0707,0707387446772,i0
00707387446789,070,0707,0707387446789,i0
00707387446796,070,0707,0707387446796,i0
00707387446802,070,0707,0707387446802,i0
00707387446833,070,0707,0707387446833,i0
00707387448592,070,0707,0707387448592,i0
00707387468705,070,0707,0707387468705,i0
00707387468712,070,0707,0707387468712,i0
00707387468729,070,0707,0707387468729,i0
00707387468736,070,0707,0707387468736,i0
00707387468743,070,0707,0707387468743,i0
00707387500016,070,0707,0707387500016,i0
00707387500030,070,0707,0707387500030,i0
00707387500054,070,0707,0707387500054,i0
00707387500078,070,0707,0707387500078,i0
00707387500085,070,0707,0707387500085,i0
