gtin14,jan3,jan4,jan13keta
14250094500037,425,4250,4250094500030
14250094500099,425,4250,4250094500092
14250094500105,425,4250,4250094500108
14250094500204,425,4250,4250094500207
14250094500280,425,4250,4250094500283
14250094500303,425,4250,4250094500306
14250094500310,425,4250,4250094500313
14250094500327,425,4250,4250094500320
14250094500334,425,4250,4250094500337
14250094500341,425,4250,4250094500344
14250094500358,425,4250,4250094500351
14250094500365,425,4250,4250094500368
14250094500372,425,4250,4250094500375
14250094500389,425,4250,4250094500382
14250094500457,425,4250,4250094500450
14250094500464,425,4250,4250094500467
14250094500631,425,4250,4250094500634
14250094500648,425,4250,4250094500641
14250094500655,425,4250,4250094500658
14250094500662,425,4250,4250094500665
14250094500679,425,4250,4250094500672
14250094500938,425,4250,4250094500931
14250094500945,425,4250,4250094500948
14250094500952,425,4250,4250094500955
14250094500969,425,4250,4250094500962
14250094500976,425,4250,4250094500979
