jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
6948318968619,,,,,26948318968613,本,RESCUE ALLIGATOR GRASPING FORCEPS BX5,M00527451,レスキュー把持鉗子 鰐口型,,,ボストン・サイエンティフィックジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948318968640,,,,,26948318968644,本,RESCUE RAT TOOTH FORCEPS 1.8 BX5,M00527751,レスキュー把持鉗子 V字型 1.8mm,,,ボストン・サイエンティフィックジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948318968626,,,,,26948318968620,本,RESCUE ALLIGATOR FORCEPS LONG BX5,M00527551,レスキュー把持鉗子 鰐口型 Long,,,ボストン・サイエンティフィックジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948318968633,,,,,26948318968637,本,RESCUE RAT TOOTH FORCEPS 2.4 BX5,M00527651,レスキュー把持鉗子 V字型 2.4mm,,,ボストン・サイエンティフィックジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948318968602,,,,,26948318968606,本,RESCUE COMBO FORCEPS BX5,M00538351,レスキュー把持鉗子 V字鰐口型,,,ボストン・サイエンティフィックジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948318968824,,,,,26948318968828,本,レスキュー把持鉗子 呼吸器用,M00515101,V字型（ラットトゥース）,,,ボストン・サイエンティフィックジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948318946778,06948318946778,個,16948318946775,箱,,,PRODIGI MULTI KNIFE 2.0MM,EKM-417D,EKM-417D,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948318946785,06948318946785,個,16948318946782,箱,,,PRODIGI MULTI KNIFE 1.5MM,EKM-425D,EKM-425D,,,コヴィディエン ジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
