gtin14,jan3,jan4,jan13keta
08031527009728,803,8031,8031527009728
08031527009728,803,8031,8031527009728
08031527014241,803,8031,8031527014241
08031527014586,803,8031,8031527014586
08031527014593,803,8031,8031527014593
08031527015361,803,8031,8031527015361
08031527015378,803,8031,8031527015378
08031527015385,803,8031,8031527015385
08031527015392,803,8031,8031527015392
08031527015408,803,8031,8031527015408
08031527015415,803,8031,8031527015415
08031527015422,803,8031,8031527015422
08031527015439,803,8031,8031527015439
08031527015446,803,8031,8031527015446
08031527015446,803,8031,8031527015446
08031527015453,803,8031,8031527015453
08031527015453,803,8031,8031527015453
08031527016597,803,8031,8031527016597
08031527016597,803,8031,8031527016597
08031527016603,803,8031,8031527016603
08031527016603,803,8031,8031527016603
08031527016610,803,8031,8031527016610
08031527016610,803,8031,8031527016610
08031527016696,803,8031,8031527016696
08031527016702,803,8031,8031527016702
08031527016719,803,8031,8031527016719
08031527016726,803,8031,8031527016726
08031527017341,803,8031,8031527017341
08031527017358,803,8031,8031527017358
08031527018591,803,8031,8031527018591
08031527018614,803,8031,8031527018614
08032568030955,803,8032,8032568030955
08032568030962,803,8032,8032568030962
08032568030979,803,8032,8032568030979
08032568030986,803,8032,8032568030986
08032568030993,803,8032,8032568030993
08032568031006,803,8032,8032568031006
08032568031013,803,8032,8032568031013
08032568031037,803,8032,8032568031037
08032568031051,803,8032,8032568031051
08032568031068,803,8032,8032568031068
08032568031075,803,8032,8032568031075
08032568031082,803,8032,8032568031082
08032568031099,803,8032,8032568031099
08032568031105,803,8032,8032568031105
08032568031112,803,8032,8032568031112
08032568031136,803,8032,8032568031136
08032568031150,803,8032,8032568031150
08032568031235,803,8032,8032568031235
08032568031273,803,8032,8032568031273
08032568031280,803,8032,8032568031280
08032568031297,803,8032,8032568031297
08032568031303,803,8032,8032568031303
08032568031310,803,8032,8032568031310
08032568031327,803,8032,8032568031327
08032568031334,803,8032,8032568031334
08032568031341,803,8032,8032568031341
08032568031358,803,8032,8032568031358
08032568031365,803,8032,8032568031365
08032568031426,803,8032,8032568031426
08032568031433,803,8032,8032568031433
08032568031471,803,8032,8032568031471
08032568031495,803,8032,8032568031495
08032568031501,803,8032,8032568031501
08032568031518,803,8032,8032568031518
08032568031525,803,8032,8032568031525
08032568031532,803,8032,8032568031532
08032568031549,803,8032,8032568031549
08032568031556,803,8032,8032568031556
08032568031563,803,8032,8032568031563
08032568031587,803,8032,8032568031587
08032568031594,803,8032,8032568031594
08032568031709,803,8032,8032568031709
08032568031716,803,8032,8032568031716
08032568031723,803,8032,8032568031723
08032568031730,803,8032,8032568031730
