gtin14,jan3,jan4,jan13keta,indicator
08022057013958,802,8022,8022057013958,i0
08022057013965,802,8022,8022057013965,i0
08022057014047,802,8022,8022057014047,i0
08022057014474,802,8022,8022057014474,i0
08022057014566,802,8022,8022057014566,i0
08022057014573,802,8022,8022057014573,i0
08022057014603,802,8022,8022057014603,i0
08022057014627,802,8022,8022057014627,i0
08022057014894,802,8022,8022057014894,i0
08022057015167,802,8022,8022057015167,i0
08022057014733,802,8022,8022057014733,i0
08022057015136,802,8022,8022057015136,i0
08022057015143,802,8022,8022057015143,i0
08022057014924,802,8022,8022057014924,i0
08022057014931,802,8022,8022057014931,i0
08022057014948,802,8022,8022057014948,i0
08022057009876,802,8022,8022057009876,i0
08022057009890,802,8022,8022057009890,i0
08022057005281,802,8022,8022057005281,i0
08022057005298,802,8022,8022057005298,i0
08022057005304,802,8022,8022057005304,i0
08022057005311,802,8022,8022057005311,i0
08022057005328,802,8022,8022057005328,i0
08022057005335,802,8022,8022057005335,i0
08022057005342,802,8022,8022057005342,i0
08022057005359,802,8022,8022057005359,i0
08022057009951,802,8022,8022057009951,i0
08022057009968,802,8022,8022057009968,i0
08022057009883,802,8022,8022057009883,i0
08022057009906,802,8022,8022057009906,i0
08022057009944,802,8022,8022057009944,i0
08022057009913,802,8022,8022057009913,i0
08022057009920,802,8022,8022057009920,i0
08022057009937,802,8022,8022057009937,i0
08022057010490,802,8022,8022057010490,i0
08022057010506,802,8022,8022057010506,i0
08022057010568,802,8022,8022057010568,i0
08022057010575,802,8022,8022057010575,i0
08022057010582,802,8022,8022057010582,i0
08022057010599,802,8022,8022057010599,i0
08022057010605,802,8022,8022057010605,i0
08022057012265,802,8022,8022057012265,i0
08022057012272,802,8022,8022057012272,i0
08022057012289,802,8022,8022057012289,i0
08022057012296,802,8022,8022057012296,i0
08022057012302,802,8022,8022057012302,i0
08022057012586,802,8022,8022057012586,i0
08022057012616,802,8022,8022057012616,i0
08022057012623,802,8022,8022057012623,i0
08022057012630,802,8022,8022057012630,i0
08022057012647,802,8022,8022057012647,i0
08022057012708,802,8022,8022057012708,i0
08022057012715,802,8022,8022057012715,i0
08022057012722,802,8022,8022057012722,i0
08022057012739,802,8022,8022057012739,i0
08022057012746,802,8022,8022057012746,i0
08022057012760,802,8022,8022057012760,i0
08022057012777,802,8022,8022057012777,i0
08022057012784,802,8022,8022057012784,i0
08022057012791,802,8022,8022057012791,i0
08022057012845,802,8022,8022057012845,i0
08022057012852,802,8022,8022057012852,i0
08022057012869,802,8022,8022057012869,i0
08022057012890,802,8022,8022057012890,i0
08022057012906,802,8022,8022057012906,i0
08022057012913,802,8022,8022057012913,i0
08022057012807,802,8022,8022057012807,i0
08022057012814,802,8022,8022057012814,i0
08022057013538,802,8022,8022057013538,i0
08022057013545,802,8022,8022057013545,i0
08022057013552,802,8022,8022057013552,i0
08022057013569,802,8022,8022057013569,i0
08022057013538,802,8022,8022057013538,i0
08022057013545,802,8022,8022057013545,i0
08022057013552,802,8022,8022057013552,i0
08022057013569,802,8022,8022057013569,i0
08022057015211,802,8022,8022057015211,i0
08022057015259,802,8022,8022057015259,i0
08022057015266,802,8022,8022057015266,i0
08022057015273,802,8022,8022057015273,i0
08022057015372,802,8022,8022057015372,i0
08022057015389,802,8022,8022057015389,i0
08022057015396,802,8022,8022057015396,i0
08022057015365,802,8022,8022057015365,i0
08022057015532,802,8022,8022057015532,i0
08022057015549,802,8022,8022057015549,i0
08022057015556,802,8022,8022057015556,i0
08022057015563,802,8022,8022057015563,i0
08022057013095,802,8022,8022057013095,i0
08022057013101,802,8022,8022057013101,i0
08022057013118,802,8022,8022057013118,i0
08022057013125,802,8022,8022057013125,i0
08022057013132,802,8022,8022057013132,i0
08022057013149,802,8022,8022057013149,i0
08022057013156,802,8022,8022057013156,i0
08022057013163,802,8022,8022057013163,i0
08022057015051,802,8022,8022057015051,i0
08022057015068,802,8022,8022057015068,i0
08022057015075,802,8022,8022057015075,i0
08022057015082,802,8022,8022057015082,i0
08022057015099,802,8022,8022057015099,i0
08022057015105,802,8022,8022057015105,i0
08022057015112,802,8022,8022057015112,i0
08022057015129,802,8022,8022057015129,i0
08022057013095,802,8022,8022057013095,i0
08022057013101,802,8022,8022057013101,i0
08022057013118,802,8022,8022057013118,i0
08022057013125,802,8022,8022057013125,i0
08022057013132,802,8022,8022057013132,i0
08022057013149,802,8022,8022057013149,i0
08022057013156,802,8022,8022057013156,i0
08022057015068,802,8022,8022057015068,i0
08022057015075,802,8022,8022057015075,i0
08022057015082,802,8022,8022057015082,i0
08022057015099,802,8022,8022057015099,i0
08022057015105,802,8022,8022057015105,i0
08022057015112,802,8022,8022057015112,i0
08022057015402,802,8022,8022057015402,i0
08022057015419,802,8022,8022057015419,i0
08022057015426,802,8022,8022057015426,i0
08022057015433,802,8022,8022057015433,i0
08022057015440,802,8022,8022057015440,i0
08022057015457,802,8022,8022057015457,i0
08022057015464,802,8022,8022057015464,i0
08022057015471,802,8022,8022057015471,i0
08022057015488,802,8022,8022057015488,i0
08022057015495,802,8022,8022057015495,i0
08022057013989,802,8022,8022057013989,i0
08022057014016,802,8022,8022057014016,i0
08022057014030,802,8022,8022057014030,i0
08022057014368,802,8022,8022057014368,i0
08022057014399,802,8022,8022057014399,i0
08022057014610,802,8022,8022057014610,i0
