gtin14,jan3,jan4,jan13keta
24987028201285,498,4987,4987028201281
24987028201292,498,4987,4987028201298
24987028201308,498,4987,4987028201304
24987103010269,498,4987,4987103010265
24987103010276,498,4987,4987103010272
24987103010283,498,4987,4987103010289
24987103010429,498,4987,4987103010425
24987103011242,498,4987,4987103011248
24987117638053,498,4987,4987117638059
24987117638060,498,4987,4987117638066
24987117638077,498,4987,4987117638073
24987170008732,498,4987,4987170008738
24987170008749,498,4987,4987170008745
24987170008756,498,4987,4987170008752
24987170008763,498,4987,4987170008769
24987170008770,498,4987,4987170008776
24987170008787,498,4987,4987170008783
24987170008794,498,4987,4987170008790
24987170008800,498,4987,4987170008806
24987316128263,498,4987,4987316128269
24987356320542,498,4987,4987356320548
24987356320559,498,4987,4987356320555
24987356320566,498,4987,4987356320562
24987356320573,498,4987,4987356320579
24987356320580,498,4987,4987356320586
24987356320597,498,4987,4987356320593
24987356320603,498,4987,4987356320609
24987356320610,498,4987,4987356320616
24987356320627,498,4987,4987356320623
24987356320634,498,4987,4987356320630
24987356321372,498,4987,4987356321378
24987356321389,498,4987,4987356321385
24987356321396,498,4987,4987356321392
24987356321402,498,4987,4987356321408
24987356321419,498,4987,4987356321415
24987356321426,498,4987,4987356321422
24987356321433,498,4987,4987356321439
24987356321440,498,4987,4987356321446
24987356321457,498,4987,4987356321453
24987356321464,498,4987,4987356321460
24987356321471,498,4987,4987356321477
24987356321488,498,4987,4987356321484
24987356321495,498,4987,4987356321491
24987356321501,498,4987,4987356321507
24987356321518,498,4987,4987356321514
24987356321525,498,4987,4987356321521
24987356321532,498,4987,4987356321538
24987356321549,498,4987,4987356321545
24987356321556,498,4987,4987356321552
24987356321563,498,4987,4987356321569
24987356321570,498,4987,4987356321576
24987356321587,498,4987,4987356321583
24987356321594,498,4987,4987356321590
24987356321600,498,4987,4987356321606
24987356321617,498,4987,4987356321613
24987356321624,498,4987,4987356321620
24987356321631,498,4987,4987356321637
24987356321648,498,4987,4987356321644
24987356321655,498,4987,4987356321651
24987356321662,498,4987,4987356321668
24987356321679,498,4987,4987356321675
24987356321686,498,4987,4987356321682
24987356321693,498,4987,4987356321699
24987356321709,498,4987,4987356321705
24987356321716,498,4987,4987356321712
24987356321723,498,4987,4987356321729
24987356321730,498,4987,4987356321736
24987356321747,498,4987,4987356321743
24987356321754,498,4987,4987356321750
24987356321761,498,4987,4987356321767
24987356321778,498,4987,4987356321774
24987356321785,498,4987,4987356321781
24987356321792,498,4987,4987356321798
24987356321808,498,4987,4987356321804
24987356321815,498,4987,4987356321811
24987356321822,498,4987,4987356321828
24987356321839,498,4987,4987356321835
24987356321846,498,4987,4987356321842
24987356321853,498,4987,4987356321859
24987356321860,498,4987,4987356321866
24987356321877,498,4987,4987356321873
24987356321884,498,4987,4987356321880
24987356321891,498,4987,4987356321897
24987356321907,498,4987,4987356321903
24987356321914,498,4987,4987356321910
24987356321921,498,4987,4987356321927
24987356321938,498,4987,4987356321934
24987356321945,498,4987,4987356321941
24987356321952,498,4987,4987356321958
24987356321969,498,4987,4987356321965
24987356321976,498,4987,4987356321972
24987356321983,498,4987,4987356321989
24987356321990,498,4987,4987356321996
24987356322003,498,4987,4987356322009
24987356322010,498,4987,4987356322016
24987356322027,498,4987,4987356322023
24987356322034,498,4987,4987356322030
24987356322041,498,4987,4987356322047
24987356322058,498,4987,4987356322054
24987356322065,498,4987,4987356322061
24987356322072,498,4987,4987356322078
24987356322089,498,4987,4987356322085
24987356322096,498,4987,4987356322092
24987356322102,498,4987,4987356322108
24987356322119,498,4987,4987356322115
24987356322126,498,4987,4987356322122
24987356322133,498,4987,4987356322139
24987356322140,498,4987,4987356322146
24987356322157,498,4987,4987356322153
24987356322164,498,4987,4987356322160
24987356322171,498,4987,4987356322177
24987356322188,498,4987,4987356322184
24987356322195,498,4987,4987356322191
24987356322201,498,4987,4987356322207
24987356322218,498,4987,4987356322214
24987356322225,498,4987,4987356322221
24987356322232,498,4987,4987356322238
24987356322249,498,4987,4987356322245
24987356322256,498,4987,4987356322252
24987356322263,498,4987,4987356322269
24987356322270,498,4987,4987356322276
24987356322287,498,4987,4987356322283
24987356322294,498,4987,4987356322290
24987356322300,498,4987,4987356322306
24987356322317,498,4987,4987356322313
24987356322324,498,4987,4987356322320
24987356322331,498,4987,4987356322337
24987356322348,498,4987,4987356322344
24987356322355,498,4987,4987356322351
24987356322362,498,4987,4987356322368
24987356322379,498,4987,4987356322375
24987356322386,498,4987,4987356322382
24987356322393,498,4987,4987356322399
24987356322409,498,4987,4987356322405
24987356322416,498,4987,4987356322412
24987356322423,498,4987,4987356322429
24987356322430,498,4987,4987356322436
24987356322447,498,4987,4987356322443
24987356322454,498,4987,4987356322450
24987356322461,498,4987,4987356322467
24987356322478,498,4987,4987356322474
24987356322485,498,4987,4987356322481
24987356322492,498,4987,4987356322498
24987356322508,498,4987,4987356322504
24987356322515,498,4987,4987356322511
24987356322522,498,4987,4987356322528
24987356322539,498,4987,4987356322535
24987356322546,498,4987,4987356322542
24987356322553,498,4987,4987356322559
24987356322560,498,4987,4987356322566
24987356322577,498,4987,4987356322573
24987356322584,498,4987,4987356322580
24987356322591,498,4987,4987356322597
24987356322607,498,4987,4987356322603
24987356322614,498,4987,4987356322610
24987356322621,498,4987,4987356322627
24987356322638,498,4987,4987356322634
24987356322645,498,4987,4987356322641
24987356322652,498,4987,4987356322658
24987356322669,498,4987,4987356322665
24987356322676,498,4987,4987356322672
24987356322683,498,4987,4987356322689
24987356322690,498,4987,4987356322696
24987356322706,498,4987,4987356322702
24987356322713,498,4987,4987356322719
24987356322720,498,4987,4987356322726
24987356322737,498,4987,4987356322733
24987356322744,498,4987,4987356322740
24987356322751,498,4987,4987356322757
24987356322768,498,4987,4987356322764
24987356322775,498,4987,4987356322771
24987356322782,498,4987,4987356322788
24987356322799,498,4987,4987356322795
24987356322805,498,4987,4987356322801
24987356322812,498,4987,4987356322818
24987356322829,498,4987,4987356322825
24987356322836,498,4987,4987356322832
24987356322843,498,4987,4987356322849
24987356322850,498,4987,4987356322856
24987356322867,498,4987,4987356322863
24987356322874,498,4987,4987356322870
24987356322881,498,4987,4987356322887
24987356322898,498,4987,4987356322894
24987356322904,498,4987,4987356322900
24987356322911,498,4987,4987356322917
24987356322928,498,4987,4987356322924
24987356322935,498,4987,4987356322931
24987356322942,498,4987,4987356322948
24987356322959,498,4987,4987356322955
