gtin14,jan3,jan4,jan13keta,indicator
24904095700701,490,4904,4904095700707,i2
24904095700718,490,4904,4904095700714,i2
24904095700725,490,4904,4904095700721,i2
24904095700732,490,4904,4904095700738,i2
24904095700749,490,4904,4904095700745,i2
24901126100103,490,4901,4901126100109,i2
24901126100172,490,4901,4901126100178,i2
24901126100189,490,4901,4901126100185,i2
24901126201107,490,4901,4901126201103,i2
24901126201114,490,4901,4901126201110,i2
24901126201121,490,4901,4901126201127,i2
24900070199515,490,4900,4900070199511,i2
24901780816662,490,4901,4901780816668,i2
24905524405211,490,4905,4905524405217,i2
24905524405235,490,4905,4905524405231,i2
24905524405259,490,4905,4905524405255,i2
24901780873320,490,4901,4901780873326,i2
24900719211011,490,4900,4900719211017,i2
24900719211028,490,4900,4900719211024,i2
24900719211035,490,4900,4900719211031,i2
24900719211042,490,4900,4900719211048,i2
24900719211059,490,4900,4900719211055,i2
24900719211066,490,4900,4900719211062,i2
24900719211073,490,4900,4900719211079,i2
24900719211080,490,4900,4900719211086,i2
24900719211097,490,4900,4900719211093,i2
24900719211103,490,4900,4900719211109,i2
24900719211110,490,4900,4900719211116,i2
24900719211127,490,4900,4900719211123,i2
24900719211134,490,4900,4900719211130,i2
24900719211141,490,4900,4900719211147,i2
24900719211158,490,4900,4900719211154,i2
24900719211165,490,4900,4900719211161,i2
24900719211189,490,4900,4900719211185,i2
24900719211172,490,4900,4900719211178,i2
24900719210014,490,4900,4900719210010,i2
24900719500184,490,4900,4900719500180,i2
24900719500009,490,4900,4900719500005,i2
24900719500016,490,4900,4900719500012,i2
24900719500023,490,4900,4900719500029,i2
24900719500030,490,4900,4900719500036,i2
24900719500047,490,4900,4900719500043,i2
24900719500054,490,4900,4900719500050,i2
24900719500061,490,4900,4900719500067,i2
24900719500078,490,4900,4900719500074,i2
24900719500085,490,4900,4900719500081,i2
24900719500092,490,4900,4900719500098,i2
24900719500108,490,4900,4900719500104,i2
24900719500115,490,4900,4900719500111,i2
24900719500122,490,4900,4900719500128,i2
24900719500139,490,4900,4900719500135,i2
24900719500146,490,4900,4900719500142,i2
24900719500153,490,4900,4900719500159,i2
24900719500160,490,4900,4900719500166,i2
24900719500177,490,4900,4900719500173,i2
24900719503444,490,4900,4900719503440,i2
24900719312015,490,4900,4900719312011,i2
24900719312022,490,4900,4900719312028,i2
24900719312039,490,4900,4900719312035,i2
24900719312046,490,4900,4900719312042,i2
24900719312053,490,4900,4900719312059,i2
24900719312060,490,4900,4900719312066,i2
24900719312077,490,4900,4900719312073,i2
24900719312084,490,4900,4900719312080,i2
24900719312091,490,4900,4900719312097,i2
24900719312107,490,4900,4900719312103,i2
24900719312114,490,4900,4900719312110,i2
24900719312121,490,4900,4900719312127,i2
24900719312138,490,4900,4900719312134,i2
24900719312145,490,4900,4900719312141,i2
24900719500191,490,4900,4900719500203,i2
24900719500207,490,4900,4900719500197,i2
24900719500214,490,4900,4900719500210,i2
24900719500221,490,4900,4900719500227,i2
24900719500238,490,4900,4900719500234,i2
24900719500245,490,4900,4900719500241,i2
24900719500252,490,4900,4900719500258,i2
24900719500269,490,4900,4900719500265,i2
24900719500276,490,4900,4900719500272,i2
24900719500283,490,4900,4900719500289,i2
24900719500290,490,4900,4900719500296,i2
24900719500306,490,4900,4900719500302,i2
24900719500313,490,4900,4900719500319,i2
24900719500320,490,4900,4900719500326,i2
24904585956762,490,4904,4904585956768,i2
24904585953365,490,4904,4904585953361,i2
24900070179814,490,4900,4900070179810,i2
24901126201237,490,4901,4901126201233,i2
24901126301135,490,4901,4901126301131,i2
24901126301234,490,4901,4901126301230,i2
