gtin14,jan3,jan4,jan13keta,indicator
00681490511063,068,0681,0681490511063,i0
00681490024273,068,0681,0681490024273,i0
00681490088817,068,0681,0681490088817,i0
00681490991537,068,0681,0681490991537,i0
00685447006022,068,0685,0685447006022,i0
00685447018476,068,0685,0685447018476,i0
00685447018483,068,0685,0685447018483,i0
00685447018490,068,0685,0685447018490,i0
00685447018506,068,0685,0685447018506,i0
00685447018513,068,0685,0685447018513,i0
00685447018520,068,0685,0685447018520,i0
00685447018537,068,0685,0685447018537,i0
00685447000136,068,0685,0685447000136,i0
00685447000204,068,0685,0685447000204,i0
00685447000211,068,0685,0685447000211,i0
00685447000228,068,0685,0685447000228,i0
00685447000235,068,0685,0685447000235,i0
00685447000242,068,0685,0685447000242,i0
00685447000259,068,0685,0685447000259,i0
00685447001096,068,0685,0685447001096,i0
00685447006022,068,0685,0685447006022,i0
00685447006015,068,0685,0685447006015,i0
00685447006039,068,0685,0685447006039,i0
00685447006046,068,0685,0685447006046,i0
00685447006145,068,0685,0685447006145,i0
00685447006138,068,0685,0685447006138,i0
00685447006121,068,0685,0685447006121,i0
00685447006114,068,0685,0685447006114,i0
00685447020196,068,0685,0685447020196,i0
00685447020110,068,0685,0685447020110,i0
00685447020127,068,0685,0685447020127,i0
00685447020134,068,0685,0685447020134,i0
00685447020141,068,0685,0685447020141,i0
00685447020158,068,0685,0685447020158,i0
00685447020165,068,0685,0685447020165,i0
00681490046039,068,0681,0681490046039,i0
00681490046060,068,0681,0681490046060,i0
00681490051408,068,0681,0681490051408,i0
00681490051491,068,0681,0681490051491,i0
00681490039208,068,0681,0681490039208,i0
00681490039215,068,0681,0681490039215,i0
00681490039222,068,0681,0681490039222,i0
00681490039239,068,0681,0681490039239,i0
00681490039260,068,0681,0681490039260,i0
00681490039277,068,0681,0681490039277,i0
00681490039284,068,0681,0681490039284,i0
00681490039291,068,0681,0681490039291,i0
00681490039307,068,0681,0681490039307,i0
00681490039314,068,0681,0681490039314,i0
00681490039383,068,0681,0681490039383,i0
00681490039406,068,0681,0681490039406,i0
00681490039413,068,0681,0681490039413,i0
00681490039420,068,0681,0681490039420,i0
00681490091459,068,0681,0681490091459,i0
00681490091466,068,0681,0681490091466,i0
00681490091480,068,0681,0681490091480,i0
00681490091503,068,0681,0681490091503,i0
00681490091510,068,0681,0681490091510,i0
00681490091879,068,0681,0681490091879,i0
00681490091886,068,0681,0681490091886,i0
00681490091893,068,0681,0681490091893,i0
00681490091916,068,0681,0681490091916,i0
00681490091923,068,0681,0681490091923,i0
00681490091930,068,0681,0681490091930,i0
00681490091947,068,0681,0681490091947,i0
00681490091954,068,0681,0681490091954,i0
00681490091961,068,0681,0681490091961,i0
00681490091978,068,0681,0681490091978,i0
