gtin14,jan3,jan4,jan13keta
20680651351696,068,0680,0680651351692
20680651135579,068,0680,0680651135575
20680651135579,068,0680,0680651135575
20680651135579,068,0680,0680651135575
20680651135609,068,0680,0680651135605
20680651135609,068,0680,0680651135605
20680651135609,068,0680,0680651135605
20680651135616,068,0680,0680651135612
20680651135616,068,0680,0680651135612
20680651135616,068,0680,0680651135612
20680651135630,068,0680,0680651135636
20680651135630,068,0680,0680651135636
20680651135630,068,0680,0680651135636
20680651135654,068,0680,0680651135650
20680651135654,068,0680,0680651135650
20680651135654,068,0680,0680651135650
20680651135661,068,0680,0680651135667
20680651135661,068,0680,0680651135667
20680651135661,068,0680,0680651135667
20680651135685,068,0680,0680651135681
20680651135685,068,0680,0680651135681
20680651135685,068,0680,0680651135681
20680651135692,068,0680,0680651135698
20680651135692,068,0680,0680651135698
20680651135692,068,0680,0680651135698
20680651135708,068,0680,0680651135704
20680651135708,068,0680,0680651135704
20680651135708,068,0680,0680651135704
