jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
0396100000034,00396100000034,箱,,,,,LaClarte 1day UV Confort＿Tint＿-0.50/-0.00/-0.00,5029810302020000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000041,00396100000041,箱,,,,,LaClarte 1day UV Confort＿Tint＿-0.75/-0.00/-0.00,5029810302030000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000058,00396100000058,箱,,,,,LaClarte 1day UV Confort＿Tint＿-1.00/-0.00/-0.00,5029810302040000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000065,00396100000065,箱,,,,,LaClarte 1day UV Confort＿Tint＿-1.25/-0.00/-0.00,5029810302050000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000072,00396100000072,箱,,,,,LaClarte 1day UV Confort＿Tint＿-1.50/-0.00/-0.00,5029810302060000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000089,00396100000089,箱,,,,,LaClarte 1day UV Confort＿Tint＿-1.75/-0.00/-0.00,5029810302070000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000096,00396100000096,箱,,,,,LaClarte 1day UV Confort＿Tint＿-2.00/-0.00/-0.00,5029810302080000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000102,00396100000102,箱,,,,,LaClarte 1day UV Confort＿Tint＿-2.25/-0.00/-0.00,5029810302090000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000119,00396100000119,箱,,,,,LaClarte 1day UV Confort＿Tint＿-2.50/-0.00/-0.00,5029810302100000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000126,00396100000126,箱,,,,,LaClarte 1day UV Confort＿Tint＿-2.75/-0.00/-0.00,5029810302110000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000133,00396100000133,箱,,,,,LaClarte 1day UV Confort＿Tint＿-3.00/-0.00/-0.00,5029810302120000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000140,00396100000140,箱,,,,,LaClarte 1day UV Confort＿Tint＿-3.25/-0.00/-0.00,5029810302130000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000157,00396100000157,箱,,,,,LaClarte 1day UV Confort＿Tint＿-3.50/-0.00/-0.00,5029810302140000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000164,00396100000164,箱,,,,,LaClarte 1day UV Confort＿Tint＿-3.75/-0.00/-0.00,5029810302150000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000171,00396100000171,箱,,,,,LaClarte 1day UV Confort＿Tint＿-4.00/-0.00/-0.00,5029810302160000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000188,00396100000188,箱,,,,,LaClarte 1day UV Confort＿Tint＿-4.25/-0.00/-0.00,5029810302170000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000195,00396100000195,箱,,,,,LaClarte 1day UV Confort＿Tint＿-4.50/-0.00/-0.00,5029810302180000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000201,00396100000201,箱,,,,,LaClarte 1day UV Confort＿Tint＿-4.75/-0.00/-0.00,5029810302190000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000218,00396100000218,箱,,,,,LaClarte 1day UV Confort＿Tint＿-5.00/-0.00/-0.00,5029810302200000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000225,00396100000225,箱,,,,,LaClarte 1day UV Confort＿Tint＿-5.25/-0.00/-0.00,5029810302210000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000232,00396100000232,箱,,,,,LaClarte 1day UV Confort＿Tint＿-5.50/-0.00/-0.00,5029810302220000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000249,00396100000249,箱,,,,,LaClarte 1day UV Confort＿Tint＿-5.75/-0.00/-0.00,5029810302230000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000256,00396100000256,箱,,,,,LaClarte 1day UV Confort＿Tint＿-6.00/-0.00/-0.00,5029810302240000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000270,00396100000270,箱,,,,,LaClarte 1day UV Confort＿Tint＿-6.50/-0.00/-0.00,5029810302260000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000294,00396100000294,箱,,,,,LaClarte 1day UV Confort＿Tint＿-7.00/-0.00/-0.00,5029810302280000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000317,00396100000317,箱,,,,,LaClarte 1day UV Confort＿Tint＿-7.50/-0.00/-0.00,5029810302300000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000331,00396100000331,箱,,,,,LaClarte 1day UV Confort＿Tint＿-8.00/-0.00/-0.00,5029810302320000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000355,00396100000355,箱,,,,,LaClarte 1day UV Confort＿Tint＿-8.50/-0.00/-0.00,5029810302340000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000379,00396100000379,箱,,,,,LaClarte 1day UV Confort＿Tint＿-9.00/-0.00/-0.00,5029810302360000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000393,00396100000393,箱,,,,,LaClarte 1day UV Confort＿Tint＿-9.50/-0.00/-0.00,5029810302380000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000416,00396100000416,箱,,,,,LaClarte 1day UV Confort＿Tint＿-10.00/-0.00/-0.00,5029810302400000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000430,00396100000430,箱,,,,,LaClarte 1day UV Confort＿Tint＿-10.50/-0.00/-0.00,5029810302420000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000454,00396100000454,箱,,,,,LaClarte 1day UV Confort＿Tint＿-11.00/-0.00/-0.00,5029810302440000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000478,00396100000478,箱,,,,,LaClarte 1day UV Confort＿Tint＿-11.50/-0.00/-0.00,5029810302460000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0396100000492,00396100000492,箱,,,,,LaClarte 1day UV Confort＿Tint＿-12.00/-0.00/-0.00,5029810302480000,5PK,,,Ｐｅｇａｖｉｓｉｏｎ　Ｊａｐａｎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
