gtin14,jan3,jan4,jan13
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
07340000000000,734,7340,7340000000000
