gtin14,jan3,jan4,jan13keta
07392130181180,739,7392,7392130181180
07392130181197,739,7392,7392130181197
07392130181203,739,7392,7392130181203
07392130181210,739,7392,7392130181210
07392130181258,739,7392,7392130181258
07392130181289,739,7392,7392130181289
07392130181364,739,7392,7392130181364
07392130181371,739,7392,7392130181371
07392130181395,739,7392,7392130181395
07392130181401,739,7392,7392130181401
07392130181418,739,7392,7392130181418
07392130181425,739,7392,7392130181425
07392130181432,739,7392,7392130181432
07392130181449,739,7392,7392130181449
07392130181456,739,7392,7392130181456
07392130181463,739,7392,7392130181463
07392130181807,739,7392,7392130181807
07392130181814,739,7392,7392130181814
07392130182224,739,7392,7392130182224
07392130182231,739,7392,7392130182231
07392130182248,739,7392,7392130182248
07392130182255,739,7392,7392130182255
07392130183108,739,7392,7392130183108
07392130183153,739,7392,7392130183153
07392130183207,739,7392,7392130183207
07392130185010,739,7392,7392130185010
07392130185027,739,7392,7392130185027
07392130185034,739,7392,7392130185034
07392130185041,739,7392,7392130185041
