gtin14,jan3,jan4,jan13keta
03599870003169,359,3599,3599870003169
03599870003176,359,3599,3599870003176
03599870013069,359,3599,3599870013069
03599870013076,359,3599,3599870013076
03599870013083,359,3599,3599870013083
03599870013090,359,3599,3599870013090
03599870013106,359,3599,3599870013106
03599870013113,359,3599,3599870013113
03599870013120,359,3599,3599870013120
03599870013137,359,3599,3599870013137
03599870013144,359,3599,3599870013144
03599870088623,359,3599,3599870088623
03599870088630,359,3599,3599870088630
03599870092446,359,3599,3599870092446
03599870092453,359,3599,3599870092453
03599870092460,359,3599,3599870092460
03599870092477,359,3599,3599870092477
03599870092484,359,3599,3599870092484
03599870092491,359,3599,3599870092491
03599870092507,359,3599,3599870092507
03599870092514,359,3599,3599870092514
03599870092606,359,3599,3599870092606
03599870092613,359,3599,3599870092613
03599870092637,359,3599,3599870092637
03599870094242,359,3599,3599870094242
03599870094259,359,3599,3599870094259
03599870094266,359,3599,3599870094266
03599870094273,359,3599,3599870094273
03599870094280,359,3599,3599870094280
03599870094297,359,3599,3599870094297
03599870094303,359,3599,3599870094303
03599870094327,359,3599,3599870094327
03599870094334,359,3599,3599870094334
03599870094440,359,3599,3599870094440
03599870094457,359,3599,3599870094457
03599870094464,359,3599,3599870094464
03599870094471,359,3599,3599870094471
03599870094488,359,3599,3599870094488
